code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,rev_79,rev_80,rev_81,rev_82,rev_83,rev_84,rev_85,rev_86,rev_87,rev_88,rev_89,rev_90,rev_91,rev_92,rev_93,rev_94,rev_95,rev_96,rev_97,rev_98,rev_99,rev_100,rev_101,rev_102,rev_103,rev_104,rev_105,rev_106,rev_107,rev_108,rev_109,rev_110,rev_111,rev_112,rev_113,rev_114,rev_115,rev_116,rev_117,rev_118,rev_119,rev_120,rev_121,rev_122,rev_123,rev_124,rev_125,rev_126,rev_127,doc_link,source_link
3E,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://github.com/apachecn/ailearning/blob/c1408ef5203e351f0249b206d46c2473fd6c1b24/README.md,https://github.com/apachecn/ailearning/blob/5962bb10588d801ec8d7053c7c84db82e12c73c0/docs/da/151.md#L2133
54ujcL3,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,https://github.com/apachecn/ailearning/blob/c1408ef5203e351f0249b206d46c2473fd6c1b24/README.md,https://github.com/apachecn/ailearning/blob/ea4fc6ee631a77863361f79e3b3670f1bfc6fe7f/docs/tf2/README.md#L12
8K,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,-,-,-,-,-,-,-,-,-,https://github.com/apachecn/ailearning/blob/c1408ef5203e351f0249b206d46c2473fd6c1b24/README.md,https://github.com/apachecn/ailearning/blob/d4da800beb8bd19b5b53445cbe1488a00d1bfafa/docs/da/136.md#L33
AI,repo,README.md,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,55,55,55,55,58,58,58,58,58,58,58,58,58,https://github.com/apachecn/ailearning/blob/c1408ef5203e351f0249b206d46c2473fd6c1b24/README.md,https://github.com/apachecn/ailearning/blob/ea4fc6ee631a77863361f79e3b3670f1bfc6fe7f/docs/tf2/19.md#L10
AUC,repo,README.md,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,15,15,15,15,-,-,-,-,-,-,-,-,-,https://github.com/apachecn/ailearning/blob/c1408ef5203e351f0249b206d46c2473fd6c1b24/README.md,https://github.com/apachecn/ailearning/blob/d4da800beb8bd19b5b53445cbe1488a00d1bfafa/src/py3.x/ml/7.AdaBoost/adaboost.py#L192
AcFun,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,https://github.com/apachecn/ailearning/blob/c1408ef5203e351f0249b206d46c2473fd6c1b24/README.md,https://github.com/apachecn/ailearning/blob/525c52938cfdbed3164f26b754dd19a85b29ad27/docs/join-us.md#L9
AdaBoost,repo,README.md,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,46,46,46,46,46,46,46,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,-,-,-,-,-,-,-,-,-,https://github.com/apachecn/ailearning/blob/c1408ef5203e351f0249b206d46c2473fd6c1b24/README.md,https://github.com/apachecn/ailearning/blob/d4da800beb8bd19b5b53445cbe1488a00d1bfafa/src/tutorials/tool/python2libsvm.py#L45
AiLearning,repo,README.md,488,488,488,488,495,495,499,499,499,499,501,501,501,501,501,501,501,501,501,501,501,501,525,525,525,525,527,527,527,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,367,232,206,195,191,191,191,191,191,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,183,183,183,183,183,183,182,182,182,182,182,182,182,182,182,182,181,181,181,181,181,181,181,176,176,176,176,176,176,176,176,178,178,178,178,178,178,178,178,178,https://github.com/apachecn/ailearning/blob/c1408ef5203e351f0249b206d46c2473fd6c1b24/README.md,https://github.com/apachecn/ailearning/blob/ea4fc6ee631a77863361f79e3b3670f1bfc6fe7f/src/script.py#L56
ApacheCN,repo,README.md,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,44,44,44,44,44,44,44,44,44,44,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,49,49,49,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,52,52,52,52,52,52,52,52,52,52,50,50,50,50,52,52,52,52,56,56,56,56,56,56,56,127,127,https://github.com/apachecn/ailearning/blob/c1408ef5203e351f0249b206d46c2473fd6c1b24/README.md,https://github.com/apachecn/ailearning/blob/ea4fc6ee631a77863361f79e3b3670f1bfc6fe7f/src/script.py#L65
BY,repo,README.md,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,8,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,9,9,9,9,9,9,9,9,9,9,9,9,9,https://github.com/apachecn/ailearning/blob/c1408ef5203e351f0249b206d46c2473fd6c1b24/README.md,https://github.com/apachecn/ailearning/blob/ea4fc6ee631a77863361f79e3b3670f1bfc6fe7f/docs/tf2/README.md#L5
