code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,rev_79,rev_80,rev_81,rev_82,rev_83,rev_84,rev_85,rev_86,rev_87,rev_88,rev_89,rev_90,rev_91,rev_92,rev_93,rev_94,rev_95,rev_96,rev_97,rev_98,rev_99,rev_100,rev_101,rev_102,rev_103,rev_104,rev_105,rev_106,rev_107,rev_108,rev_109,rev_110,rev_111,rev_112,rev_113,rev_114,rev_115,rev_116,rev_117,rev_118,rev_119,rev_120,rev_121,doc_link,source_link
/me/orders,repo,README.md,-,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,6,6,6,6,7,7,7,7,7,7,9,9,9,9,9,10,10,11,11,11,11,11,12,12,12,13,13,13,13,13,13,14,15,16,17,17,17,17,18,18,18,19,20,20,20,20,20,20,21,21,21,21,21,21,21,22,22,22,22,22,22,22,22,22,22,22,23,23,22,22,22,22,22,22,22,22,22,22,22,22,22,23,23,23,24,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README.md,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README-zh.md#L42
/user/654321/orders,repo,README.md,-,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,6,6,6,6,7,7,7,7,7,7,9,9,9,9,9,10,10,11,11,11,11,11,12,12,12,13,13,13,13,13,13,14,15,16,17,17,17,17,18,18,18,19,20,20,20,20,20,20,20,20,20,20,20,20,20,21,21,21,21,21,21,21,21,21,21,21,22,22,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,22,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README.md,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README-zh.md#L42
API,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,7,10,14,14,15,15,15,15,15,15,15,19,19,19,19,19,24,24,24,24,29,29,29,28,30,30,40,40,40,40,41,44,44,48,48,48,49,49,54,54,54,59,59,59,59,62,62,66,71,75,80,80,95,95,98,98,98,103,107,107,107,107,107,107,111,111,116,118,118,118,118,124,124,124,124,124,124,124,124,124,124,124,128,128,122,122,122,122,122,122,122,122,122,122,122,122,122,128,128,128,132,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README.md,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README-zh.md#L3
AV,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,5,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README.md,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README-pt_BR.md#L62
Authentication,repo,README.md,-,-,-,-,-,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,6,6,6,6,6,6,6,10,12,14,14,14,14,15,15,15,16,17,17,17,17,17,17,17,17,18,18,18,18,18,20,20,20,20,20,20,20,20,20,20,20,22,22,21,21,21,21,21,17,17,17,17,17,17,17,17,17,17,17,18,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README.md,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README-zh.md#L11
CD,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,1,1,1,2,3,3,3,3,4,4,6,6,6,6,6,7,7,8,8,8,8,8,9,9,9,10,10,10,10,11,11,12,13,14,15,15,15,15,16,16,16,16,17,17,17,17,17,17,18,18,19,20,20,20,20,21,21,21,21,21,21,21,21,21,21,21,22,22,21,21,21,21,21,21,21,21,21,21,21,22,22,23,23,23,23,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README.md,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README-vi.md#L59
CDN,repo,README.md,-,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,6,6,6,6,7,7,7,7,7,7,9,9,9,9,9,10,10,11,11,11,11,11,12,12,12,13,13,13,13,13,13,14,15,16,17,17,17,17,18,18,18,19,20,20,20,20,20,20,21,21,22,22,22,22,22,23,23,23,23,23,23,23,23,23,23,23,24,24,23,23,23,23,23,23,23,23,23,23,23,23,23,24,24,24,25,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README.md,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README-zh.md#L46
CI,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,1,1,1,2,3,3,3,3,4,4,6,6,6,6,6,7,7,8,8,8,8,8,9,9,9,10,10,10,10,11,11,12,13,14,15,15,15,15,16,16,16,16,17,17,17,17,17,17,18,18,19,20,20,20,20,21,21,21,21,21,21,21,21,21,21,21,22,22,21,21,21,21,21,21,21,21,21,21,21,22,22,23,23,23,23,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README.md,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README-vi.md#L59
CSRF,repo,README.md,-,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,6,6,6,6,7,7,7,7,7,7,9,9,9,9,9,10,10,11,11,11,11,11,12,12,12,13,13,13,13,13,13,14,15,16,17,17,17,17,18,18,18,19,20,20,20,20,20,20,21,21,22,22,22,22,22,23,23,23,23,23,23,23,23,23,23,23,24,24,23,23,23,23,23,23,23,23,23,23,23,23,23,24,24,24,25,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README.md,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README-zh.md#L24
DEBUG,repo,README.md,-,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,5,5,5,5,5,5,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,9,9,9,9,9,9,10,11,12,13,13,13,13,14,14,14,15,16,16,16,16,16,16,16,16,17,17,17,17,17,18,18,18,18,18,18,18,18,18,18,18,19,19,18,18,18,18,18,18,18,18,18,18,18,17,17,18,18,18,18,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README.md,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README-zh.md#L48
