code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,rev_79,rev_80,rev_81,rev_82,rev_83,rev_84,rev_85,rev_86,rev_87,rev_88,rev_89,rev_90,rev_91,rev_92,rev_93,rev_94,rev_95,rev_96,rev_97,rev_98,rev_99,rev_100,rev_101,rev_102,rev_103,rev_104,rev_105,rev_106,rev_107,rev_108,rev_109,rev_110,rev_111,rev_112,rev_113,rev_114,rev_115,rev_116,rev_117,rev_118,rev_119,rev_120,rev_121,rev_122,rev_123,rev_124,rev_125,rev_126,rev_127,rev_128,rev_129,rev_130,rev_131,rev_132,rev_133,rev_134,rev_135,doc_link,source_link
NodeJS,repo,README.md,.,.,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/docker/awesome-compose/blob/667bd9facba316a64c0697dc55fa097f973c07b0/README.md,https://github.com/docker/awesome-compose/blob/11c633bc7f6aa2eeb34f9e8807185fad51385718/react-java-mysql/README.md#L2
PHP,repo,README.md,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/docker/awesome-compose/blob/667bd9facba316a64c0697dc55fa097f973c07b0/README.md,https://github.com/docker/awesome-compose/blob/ecef5caea709bc4783c7334131132f6e00607526/apache-php/README.md#L2
Plex,repo,README.md,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/docker/awesome-compose/blob/667bd9facba316a64c0697dc55fa097f973c07b0/README.md,https://github.com/docker/awesome-compose/blob/ecef5caea709bc4783c7334131132f6e00607526/plex/README.md#L1
Portainer,repo,README.md,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/docker/awesome-compose/blob/667bd9facba316a64c0697dc55fa097f973c07b0/README.md,https://github.com/docker/awesome-compose/blob/ecef5caea709bc4783c7334131132f6e00607526/portainer/README.md#L1
PostgreSQL,repo,README.md,.,.,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/docker/awesome-compose/blob/667bd9facba316a64c0697dc55fa097f973c07b0/README.md,https://github.com/docker/awesome-compose/blob/ecef5caea709bc4783c7334131132f6e00607526/postgresql-pgadmin/README.md#L1
README.md,repo,README.md,.,.,-,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,33,33,35,35,37,39,39,39,39,39,39,39,41,41,41,41,41,41,41,41,41,41,41,42,42,44,46,46,47,48,48,50,50,50,50,50,50,54,54,54,54,54,54,54,54,54,54,54,54,55,55,55,55,55,58,58,58,58,58,58,58,58,58,58,59,59,59,59,59,59,59,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,63,64,64,64,64,64,63,63,63,63,63,63,73,73,73,73,73,73,73,73,73,73,77,77,77,77,77,77,77,https://github.com/docker/awesome-compose/blob/667bd9facba316a64c0697dc55fa097f973c07b0/README.md,https://github.com/docker/awesome-compose/blob/ecef5caea709bc4783c7334131132f6e00607526/wordpress-mysql/README.md#L9
SQL,repo,README.md,.,.,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,https://github.com/docker/awesome-compose/blob/667bd9facba316a64c0697dc55fa097f973c07b0/README.md,https://github.com/docker/awesome-compose/blob/ecef5caea709bc4783c7334131132f6e00607526/nginx-aspnet-mysql/backend/.gitignore#L254
Spark,repo,README.md,.,.,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/docker/awesome-compose/blob/667bd9facba316a64c0697dc55fa097f973c07b0/README.md,https://github.com/docker/awesome-compose/blob/ecef5caea709bc4783c7334131132f6e00607526/sparkjava/sparkjava/src/main/java/App.java#L1
Traefik,repo,README.md,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/docker/awesome-compose/blob/667bd9facba316a64c0697dc55fa097f973c07b0/README.md,https://github.com/docker/awesome-compose/blob/ecef5caea709bc4783c7334131132f6e00607526/traefik-golang/compose.yaml#L9
VueJS,repo,README.md,.,.,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/docker/awesome-compose/blob/667bd9facba316a64c0697dc55fa097f973c07b0/README.md,https://github.com/docker/awesome-compose/blob/ecef5caea709bc4783c7334131132f6e00607526/vuejs/README.md#L2
WSGI,repo,README.md,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,https://github.com/docker/awesome-compose/blob/667bd9facba316a64c0697dc55fa097f973c07b0/README.md,https://github.com/docker/awesome-compose/blob/ecef5caea709bc4783c7334131132f6e00607526/nginx-wsgi-flask/README.md#L3
Wireguard,repo,README.md,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/docker/awesome-compose/blob/667bd9facba316a64c0697dc55fa097f973c07b0/README.md,https://github.com/docker/awesome-compose/blob/ecef5caea709bc4783c7334131132f6e00607526/wireguard/README.md#L1
compose.yaml,repo,README.md,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,115,115,115,115,115,https://github.com/docker/awesome-compose/blob/667bd9facba316a64c0697dc55fa097f973c07b0/README.md,https://github.com/docker/awesome-compose/blob/ecef5caea709bc4783c7334131132f6e00607526/wordpress-mysql/README.md#L8
docker-compose.yaml,repo,README.md,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,49,49,50,50,50,50,50,50,50,50,50,50,50,52,52,55,55,55,58,60,58,59,59,59,59,59,59,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,63,63,63,63,63,63,63,64,64,64,67,67,67,67,67,67,67,70,70,70,70,70,70,70,70,70,70,70,70,69,69,69,69,69,70,72,72,72,72,72,72,72,72,72,72,72,87,87,87,87,87,87,87,87,87,87,87,87,-,-,-,-,-,https://github.com/docker/awesome-compose/blob/667bd9facba316a64c0697dc55fa097f973c07b0/README.md,https://github.com/docker/awesome-compose/blob/bc95525543b9d869a3bdd1b29dcd92007dd689ea/wordpress-mysql/README.md#L8
macOS,repo,README.md,.,.,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/docker/awesome-compose/blob/667bd9facba316a64c0697dc55fa097f973c07b0/README.md,https://github.com/docker/awesome-compose/blob/ecef5caea709bc4783c7334131132f6e00607526/aspnet-mssql/app/aspnetapp/.gitignore#L377
pgAdmin,repo,README.md,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/docker/awesome-compose/blob/667bd9facba316a64c0697dc55fa097f973c07b0/README.md,https://github.com/docker/awesome-compose/blob/ecef5caea709bc4783c7334131132f6e00607526/postgresql-pgadmin/README.md#L1
