code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,doc_link,source_link
CONTRIBUTING,repo,README.md,0,0,0,2,https://github.com/google/mimosa/blob/b3507769b33e27ca2ecd08687a3cdc11d67649a0/README.md,https://github.com/google/mimosa/blob/b3507769b33e27ca2ecd08687a3cdc11d67649a0/pcba_joystick_if/README.md#L17
HID,repo,README.md,-,-,-,2,https://github.com/google/mimosa/blob/b3507769b33e27ca2ecd08687a3cdc11d67649a0/README.md,https://github.com/google/mimosa/blob/b3507769b33e27ca2ecd08687a3cdc11d67649a0/device_usbc_joystick/README.md#L9
IDE,repo,README.md,-,-,-,6,https://github.com/google/mimosa/blob/b3507769b33e27ca2ecd08687a3cdc11d67649a0/README.md,https://github.com/google/mimosa/blob/b3507769b33e27ca2ecd08687a3cdc11d67649a0/pcba_force/README.md#L3
LICENSE,repo,README.md,1,1,1,12,https://github.com/google/mimosa/blob/b3507769b33e27ca2ecd08687a3cdc11d67649a0/README.md,https://github.com/google/mimosa/blob/b3507769b33e27ca2ecd08687a3cdc11d67649a0/pcba_joystick_if/README.md#L14
MIMOSA,repo,README.md,0,0,0,5,https://github.com/google/mimosa/blob/b3507769b33e27ca2ecd08687a3cdc11d67649a0/README.md,https://github.com/google/mimosa/blob/b3507769b33e27ca2ecd08687a3cdc11d67649a0/pcba_force/lib_arduino/Mimosa_Force/src/mimosa_force.h#L16
QT,repo,README.md,-,-,-,15,https://github.com/google/mimosa/blob/b3507769b33e27ca2ecd08687a3cdc11d67649a0/README.md,https://github.com/google/mimosa/blob/b3507769b33e27ca2ecd08687a3cdc11d67649a0/pcba_joystick_if/README.md#L3
QWIIC,repo,README.md,-,-,-,1,https://github.com/google/mimosa/blob/b3507769b33e27ca2ecd08687a3cdc11d67649a0/README.md,https://github.com/google/mimosa/blob/b3507769b33e27ca2ecd08687a3cdc11d67649a0/pcba_joystick_if/README.md#L3
STEP,repo,README.md,9,9,9,8,https://github.com/google/mimosa/blob/b3507769b33e27ca2ecd08687a3cdc11d67649a0/README.md,https://github.com/google/mimosa/blob/b3507769b33e27ca2ecd08687a3cdc11d67649a0/pcba_joystick_if/ecad/joystick_if.PrjPcb#L776
USB,repo,README.md,7,7,7,7,https://github.com/google/mimosa/blob/b3507769b33e27ca2ecd08687a3cdc11d67649a0/README.md,https://github.com/google/mimosa/blob/b3507769b33e27ca2ecd08687a3cdc11d67649a0/pcba_joystick_if/README.md#L11
1LAJ5,wiki,Host-assembly-instructions.md,.,1,1,0,https://github.com/google/mimosa/wiki/Host-assembly-instructions/08a70caf6c6704cb01af0f9621d8ce24a5069b6d,https://github.com/google/mimosa/blob/e0060afcc7a1e7ed5e9a0e39e8e15f6c411cb5d0/host/bom.txt#L5
4YKT2,wiki,Host-assembly-instructions.md,.,1,1,0,https://github.com/google/mimosa/wiki/Host-assembly-instructions/08a70caf6c6704cb01af0f9621d8ce24a5069b6d,https://github.com/google/mimosa/blob/e0060afcc7a1e7ed5e9a0e39e8e15f6c411cb5d0/host/bom.txt#L7
9628FL,wiki,Host-assembly-instructions.md,.,1,1,0,https://github.com/google/mimosa/wiki/Host-assembly-instructions/08a70caf6c6704cb01af0f9621d8ce24a5069b6d,https://github.com/google/mimosa/blob/e0060afcc7a1e7ed5e9a0e39e8e15f6c411cb5d0/host/bom.txt#L6
FSR406,wiki,Host-assembly-instructions.md,.,1,1,0,https://github.com/google/mimosa/wiki/Host-assembly-instructions/08a70caf6c6704cb01af0f9621d8ce24a5069b6d,https://github.com/google/mimosa/blob/e0060afcc7a1e7ed5e9a0e39e8e15f6c411cb5d0/host/bom.txt#L4
MJF,wiki,Host-assembly-instructions.md,.,2,2,0,https://github.com/google/mimosa/wiki/Host-assembly-instructions/08a70caf6c6704cb01af0f9621d8ce24a5069b6d,https://github.com/google/mimosa/blob/e0060afcc7a1e7ed5e9a0e39e8e15f6c411cb5d0/host/bom.txt#L1
NINA,wiki,Host-assembly-instructions.md,.,15,15,0,https://github.com/google/mimosa/wiki/Host-assembly-instructions/08a70caf6c6704cb01af0f9621d8ce24a5069b6d,https://github.com/google/mimosa/blob/e0060afcc7a1e7ed5e9a0e39e8e15f6c411cb5d0/host/mcad/ginput_pcb_20200214.step#L24398
PCB,wiki,Host-assembly-instructions.md,.,31,31,58,https://github.com/google/mimosa/wiki/Host-assembly-instructions/08a70caf6c6704cb01af0f9621d8ce24a5069b6d,https://github.com/google/mimosa/blob/b3507769b33e27ca2ecd08687a3cdc11d67649a0/pcba_joystick_if/ecad/joystick_if.PrjPcb#L293
PCBA,wiki,Host-assembly-instructions.md,.,0,0,10,https://github.com/google/mimosa/wiki/Host-assembly-instructions/08a70caf6c6704cb01af0f9621d8ce24a5069b6d,https://github.com/google/mimosa/blob/b3507769b33e27ca2ecd08687a3cdc11d67649a0/pcba_freedomport/mcad/freedomport.step#L304
enclosure_body,wiki,Host-assembly-instructions.md,.,1,1,0,https://github.com/google/mimosa/wiki/Host-assembly-instructions/08a70caf6c6704cb01af0f9621d8ce24a5069b6d,https://github.com/google/mimosa/blob/e0060afcc7a1e7ed5e9a0e39e8e15f6c411cb5d0/host/bom.txt#L1
enclosure_cap,wiki,Host-assembly-instructions.md,.,1,1,0,https://github.com/google/mimosa/wiki/Host-assembly-instructions/08a70caf6c6704cb01af0f9621d8ce24a5069b6d,https://github.com/google/mimosa/blob/e0060afcc7a1e7ed5e9a0e39e8e15f6c411cb5d0/host/bom.txt#L2
3D,wiki,Host-design-document.md,.,.,-,39,https://github.com/google/mimosa/wiki/Host-design-document/de6245acb75b464b2837c87e840c884373b2d1e2,https://github.com/google/mimosa/blob/b3507769b33e27ca2ecd08687a3cdc11d67649a0/pcba_joystick_if/ecad/joystick_if.PrjPcb#L400
HID,wiki,Host-design-document.md,.,.,0,2,https://github.com/google/mimosa/wiki/Host-design-document/de6245acb75b464b2837c87e840c884373b2d1e2,https://github.com/google/mimosa/blob/b3507769b33e27ca2ecd08687a3cdc11d67649a0/device_usbc_joystick/README.md#L9
MIMOSA,wiki,Host-design-document.md,.,.,-,5,https://github.com/google/mimosa/wiki/Host-design-document/de6245acb75b464b2837c87e840c884373b2d1e2,https://github.com/google/mimosa/blob/b3507769b33e27ca2ecd08687a3cdc11d67649a0/pcba_force/lib_arduino/Mimosa_Force/src/mimosa_force.h#L16
USB,wiki,Host-design-document.md,.,.,7,7,https://github.com/google/mimosa/wiki/Host-design-document/de6245acb75b464b2837c87e840c884373b2d1e2,https://github.com/google/mimosa/blob/b3507769b33e27ca2ecd08687a3cdc11d67649a0/pcba_joystick_if/README.md#L11
IDE,wiki,Host-programming.md,.,0,0,6,https://github.com/google/mimosa/wiki/Host-programming/d4c6c853456960d505222cbd12aad00b177bedd2,https://github.com/google/mimosa/blob/b3507769b33e27ca2ecd08687a3cdc11d67649a0/pcba_force/README.md#L3
MIMOSA,wiki,Host-programming.md,.,0,0,5,https://github.com/google/mimosa/wiki/Host-programming/d4c6c853456960d505222cbd12aad00b177bedd2,https://github.com/google/mimosa/blob/b3507769b33e27ca2ecd08687a3cdc11d67649a0/pcba_force/lib_arduino/Mimosa_Force/src/mimosa_force.h#L16
MIMOSA,wiki,Host-tactile-interface.md,.,.,0,5,https://github.com/google/mimosa/wiki/Host-tactile-interface/7e6a9a78db79f979d33603912979648b6099ee52,https://github.com/google/mimosa/blob/b3507769b33e27ca2ecd08687a3cdc11d67649a0/pcba_force/lib_arduino/Mimosa_Force/src/mimosa_force.h#L16
