code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,doc_link,source_link
$HOME/.git-credential-cache/googlesource-cookieauth-cookie,repo,README.md,1,1,1,1,0,0,0,https://github.com/google/googlesource-auth-tools/blob/396840eb2d66b59a532314509bdf8bf3b2ed904f/README.md,https://github.com/google/googlesource-auth-tools/blob/134d6ffb43171ad175ba51c6e187918803faf2de/googlesource-cookieauth/main.go#L47
/a/,repo,README.md,1,1,1,1,1,1,1,https://github.com/google/googlesource-auth-tools/blob/396840eb2d66b59a532314509bdf8bf3b2ed904f/README.md,https://github.com/google/googlesource-auth-tools/blob/bcf66f086d941724b77eac6eb7d8eba085efc34e/e2etest.sh#L73
API,repo,README.md,3,3,3,3,3,3,3,https://github.com/google/googlesource-auth-tools/blob/396840eb2d66b59a532314509bdf8bf3b2ed904f/README.md,https://github.com/google/googlesource-auth-tools/blob/bcf66f086d941724b77eac6eb7d8eba085efc34e/credentials/credentials.go#L85
EMAIL,repo,README.md,1,1,1,1,1,1,1,https://github.com/google/googlesource-auth-tools/blob/396840eb2d66b59a532314509bdf8bf3b2ed904f/README.md,https://github.com/google/googlesource-auth-tools/blob/bcf66f086d941724b77eac6eb7d8eba085efc34e/credentials/configs.go#L43
GIT_ASKPASS,repo,README.md,2,2,2,2,2,2,2,https://github.com/google/googlesource-auth-tools/blob/396840eb2d66b59a532314509bdf8bf3b2ed904f/README.md,https://github.com/google/googlesource-auth-tools/blob/bcf66f086d941724b77eac6eb7d8eba085efc34e/googlesource-askpass/main.go#L17
HTTP,repo,README.md,1,1,1,1,1,1,1,https://github.com/google/googlesource-auth-tools/blob/396840eb2d66b59a532314509bdf8bf3b2ed904f/README.md,https://github.com/google/googlesource-auth-tools/blob/bcf66f086d941724b77eac6eb7d8eba085efc34e/git-credential-googlesource/main.go#L88
IAM,repo,README.md,3,3,3,3,3,3,3,https://github.com/google/googlesource-auth-tools/blob/396840eb2d66b59a532314509bdf8bf3b2ed904f/README.md,https://github.com/google/googlesource-auth-tools/blob/bcf66f086d941724b77eac6eb7d8eba085efc34e/credentials/credentials.go#L85
SERVICE_ACCOUNT@YOUR_PROJECT.iam.gserviceaccount.com,repo,README.md,1,1,1,1,1,1,1,https://github.com/google/googlesource-auth-tools/blob/396840eb2d66b59a532314509bdf8bf3b2ed904f/README.md,https://github.com/google/googlesource-auth-tools/blob/bcf66f086d941724b77eac6eb7d8eba085efc34e/credentials/configs.go#L47
TokenSource,repo,README.md,5,5,5,5,5,5,5,https://github.com/google/googlesource-auth-tools/blob/396840eb2d66b59a532314509bdf8bf3b2ed904f/README.md,https://github.com/google/googlesource-auth-tools/blob/bcf66f086d941724b77eac6eb7d8eba085efc34e/credentials/credentials.go#L15
URL,repo,README.md,13,13,13,14,14,14,14,https://github.com/google/googlesource-auth-tools/blob/396840eb2d66b59a532314509bdf8bf3b2ed904f/README.md,https://github.com/google/googlesource-auth-tools/blob/bcf66f086d941724b77eac6eb7d8eba085efc34e/googlesource-cookieauth/main.go#L94
application-default,repo,README.md,4,4,4,4,4,4,4,https://github.com/google/googlesource-auth-tools/blob/396840eb2d66b59a532314509bdf8bf3b2ed904f/README.md,https://github.com/google/googlesource-auth-tools/blob/bcf66f086d941724b77eac6eb7d8eba085efc34e/e2etest.sh#L53
credential.helper,repo,README.md,1,1,1,1,1,1,1,https://github.com/google/googlesource-auth-tools/blob/396840eb2d66b59a532314509bdf8bf3b2ed904f/README.md,https://github.com/google/googlesource-auth-tools/blob/bcf66f086d941724b77eac6eb7d8eba085efc34e/e2etest.sh#L79
gcloud,repo,README.md,16,16,16,16,16,16,16,https://github.com/google/googlesource-auth-tools/blob/396840eb2d66b59a532314509bdf8bf3b2ed904f/README.md,https://github.com/google/googlesource-auth-tools/blob/bcf66f086d941724b77eac6eb7d8eba085efc34e/e2etest.sh#L20
git-credential-googlesource,repo,README.md,1,1,1,1,1,1,1,https://github.com/google/googlesource-auth-tools/blob/396840eb2d66b59a532314509bdf8bf3b2ed904f/README.md,https://github.com/google/googlesource-auth-tools/blob/bcf66f086d941724b77eac6eb7d8eba085efc34e/e2etest.sh#L78
google.account,repo,README.md,5,5,5,5,5,5,5,https://github.com/google/googlesource-auth-tools/blob/396840eb2d66b59a532314509bdf8bf3b2ed904f/README.md,https://github.com/google/googlesource-auth-tools/blob/bcf66f086d941724b77eac6eb7d8eba085efc34e/e2etest.sh#L45
google.allowHTTPForCredentialHelper,repo,README.md,2,2,2,2,2,2,2,https://github.com/google/googlesource-auth-tools/blob/396840eb2d66b59a532314509bdf8bf3b2ed904f/README.md,https://github.com/google/googlesource-auth-tools/blob/bcf66f086d941724b77eac6eb7d8eba085efc34e/git-credential-googlesource/main.go#L83
google.cookieFile,repo,README.md,2,2,2,2,6,6,6,https://github.com/google/googlesource-auth-tools/blob/396840eb2d66b59a532314509bdf8bf3b2ed904f/README.md,https://github.com/google/googlesource-auth-tools/blob/bcf66f086d941724b77eac6eb7d8eba085efc34e/googlesource-cookieauth/main.go#L109
google.gcloudPath,repo,README.md,1,1,1,1,1,1,1,https://github.com/google/googlesource-auth-tools/blob/396840eb2d66b59a532314509bdf8bf3b2ed904f/README.md,https://github.com/google/googlesource-auth-tools/blob/bcf66f086d941724b77eac6eb7d8eba085efc34e/credentials/configs.go#L168
google.scopes,repo,README.md,1,1,1,1,1,1,1,https://github.com/google/googlesource-auth-tools/blob/396840eb2d66b59a532314509bdf8bf3b2ed904f/README.md,https://github.com/google/googlesource-auth-tools/blob/bcf66f086d941724b77eac6eb7d8eba085efc34e/credentials/configs.go#L158
google.serviceAccountDelegateEmails,repo,README.md,1,1,1,1,1,1,1,https://github.com/google/googlesource-auth-tools/blob/396840eb2d66b59a532314509bdf8bf3b2ed904f/README.md,https://github.com/google/googlesource-auth-tools/blob/bcf66f086d941724b77eac6eb7d8eba085efc34e/credentials/configs.go#L163
googlesource,repo,README.md,27,27,27,27,27,27,27,https://github.com/google/googlesource-auth-tools/blob/396840eb2d66b59a532314509bdf8bf3b2ed904f/README.md,https://github.com/google/googlesource-auth-tools/blob/bcf66f086d941724b77eac6eb7d8eba085efc34e/googlesource-cookieauth/main.go#L16
googlesource-askpass,repo,README.md,2,2,2,2,2,2,2,https://github.com/google/googlesource-auth-tools/blob/396840eb2d66b59a532314509bdf8bf3b2ed904f/README.md,https://github.com/google/googlesource-auth-tools/blob/bcf66f086d941724b77eac6eb7d8eba085efc34e/e2etest.sh#L81
googlesource-cookieauth,repo,README.md,6,6,6,6,7,7,7,https://github.com/google/googlesource-auth-tools/blob/396840eb2d66b59a532314509bdf8bf3b2ed904f/README.md,https://github.com/google/googlesource-auth-tools/blob/bcf66f086d941724b77eac6eb7d8eba085efc34e/googlesource-cookieauth/main.go#L118
https://www.googleapis.com/auth/cloud-platform,repo,README.md,2,2,2,2,2,2,2,https://github.com/google/googlesource-auth-tools/blob/396840eb2d66b59a532314509bdf8bf3b2ed904f/README.md,https://github.com/google/googlesource-auth-tools/blob/bcf66f086d941724b77eac6eb7d8eba085efc34e/credentials/credentials.go#L38
iam.serviceAccounts.getAccessToken,repo,README.md,1,1,1,1,1,1,1,https://github.com/google/googlesource-auth-tools/blob/396840eb2d66b59a532314509bdf8bf3b2ed904f/README.md,https://github.com/google/googlesource-auth-tools/blob/bcf66f086d941724b77eac6eb7d8eba085efc34e/credentials/configs.go#L52
