code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,rev_79,rev_80,rev_81,rev_82,rev_83,rev_84,rev_85,rev_86,rev_87,rev_88,rev_89,rev_90,rev_91,rev_92,rev_93,rev_94,rev_95,rev_96,rev_97,rev_98,rev_99,rev_100,rev_101,rev_102,rev_103,rev_104,rev_105,rev_106,rev_107,rev_108,rev_109,rev_110,rev_111,rev_112,rev_113,rev_114,rev_115,rev_116,rev_117,rev_118,rev_119,rev_120,rev_121,rev_122,rev_123,rev_124,rev_125,doc_link,source_link
MANUFACTURER,repo,README.md,.,-,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,https://github.com/google/ms-tpm-20-ref/blob/d7a7c200fae3ab947efef8902d219072de94cc3e/README.md,https://github.com/google/ms-tpm-20-ref/blob/467abca240c5f55f5ad83287eccb079b9a293dec/TPMCmd/tpm/src/support/TpmFail.c#L352
MS,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/ms-tpm-20-ref/blob/d7a7c200fae3ab947efef8902d219072de94cc3e/README.md,https://github.com/google/ms-tpm-20-ref/blob/3df55c0f419a1fecb30a44b12c460f496449a672/TPMCmd/tpm/src/support/TpmFail.c#L40
OPENSSL_NO_SM3,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/ms-tpm-20-ref/blob/d7a7c200fae3ab947efef8902d219072de94cc3e/README.md,https://github.com/google/ms-tpm-20-ref/blob/411239d6a4b3649fc63d4b14f3ce2c95c27e19d8/TPMCmd/tpm/include/Ossl/TpmToOsslHash.h#L48
OPENSSL_NO_SM4,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/ms-tpm-20-ref/blob/d7a7c200fae3ab947efef8902d219072de94cc3e/README.md,https://github.com/google/ms-tpm-20-ref/blob/411239d6a4b3649fc63d4b14f3ce2c95c27e19d8/TPMCmd/tpm/include/Ossl/TpmToOsslSym.h#L56
OS,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,14,14,14,14,14,14,14,14,14,14,https://github.com/google/ms-tpm-20-ref/blob/d7a7c200fae3ab947efef8902d219072de94cc3e/README.md,https://github.com/google/ms-tpm-20-ref/blob/467abca240c5f55f5ad83287eccb079b9a293dec/TPMCmd/tpm/src/subsystem/PCR.c#L69
OpenSSL,repo,README.md,.,-,29,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,31,31,31,31,31,31,42,42,42,42,42,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,42,42,42,44,44,42,42,42,42,42,42,42,42,42,42,42,42,46,46,46,46,46,46,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,https://github.com/google/ms-tpm-20-ref/blob/d7a7c200fae3ab947efef8902d219072de94cc3e/README.md,https://github.com/google/ms-tpm-20-ref/blob/467abca240c5f55f5ad83287eccb079b9a293dec/TPMCmd/tpm/src/crypt/ossl/TpmToOsslSupport.c#L38
OsslInclude,repo,README.md,.,-,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/ms-tpm-20-ref/blob/d7a7c200fae3ab947efef8902d219072de94cc3e/README.md,https://github.com/google/ms-tpm-20-ref/blob/99c02a02053b8f026211eb7c8374206900eb159b/TPMCmd/tpm/Tpm.vcxproj#L353
SPEC_DAY_OF_YEAR,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/ms-tpm-20-ref/blob/d7a7c200fae3ab947efef8902d219072de94cc3e/README.md,https://github.com/google/ms-tpm-20-ref/blob/467abca240c5f55f5ad83287eccb079b9a293dec/TPMCmd/tpm/include/TpmTypes.h#L299
SPEC_VERSION,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/ms-tpm-20-ref/blob/d7a7c200fae3ab947efef8902d219072de94cc3e/README.md,https://github.com/google/ms-tpm-20-ref/blob/467abca240c5f55f5ad83287eccb079b9a293dec/TPMCmd/tpm/include/TpmTypes.h#L295
SPEC_YEAR,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/ms-tpm-20-ref/blob/d7a7c200fae3ab947efef8902d219072de94cc3e/README.md,https://github.com/google/ms-tpm-20-ref/blob/467abca240c5f55f5ad83287eccb079b9a293dec/TPMCmd/tpm/include/TpmTypes.h#L297
TCG,repo,README.md,.,-,3,4,4,4,4,4,4,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,17,17,17,17,17,17,17,17,17,17,17,17,https://github.com/google/ms-tpm-20-ref/blob/d7a7c200fae3ab947efef8902d219072de94cc3e/README.md,https://github.com/google/ms-tpm-20-ref/blob/467abca240c5f55f5ad83287eccb079b9a293dec/TPMCmd/tpm/src/support/PropertyCap.c#L302
TCP,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/ms-tpm-20-ref/blob/d7a7c200fae3ab947efef8902d219072de94cc3e/README.md,https://github.com/google/ms-tpm-20-ref/blob/467abca240c5f55f5ad83287eccb079b9a293dec/TPMCmd/Simulator/src/TcpServer.c#L472
TODO,repo,README.md,.,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/ms-tpm-20-ref/blob/d7a7c200fae3ab947efef8902d219072de94cc3e/README.md,https://github.com/google/ms-tpm-20-ref/blob/d5415e87f2a1bba6e116d92fcf9513e93e5f5914/.gitignore#L151
TPM,repo,README.md,.,-,937,989,989,990,990,990,990,990,980,983,1010,1010,1010,1010,1010,1010,1010,1010,1102,1102,1102,1103,1103,1103,1103,1103,1103,1103,1102,1219,1221,1221,1242,1242,1242,1242,1242,1242,1242,1242,1242,1242,1249,1249,1249,1249,1249,1249,1249,1251,1251,1242,1242,1242,1242,1242,1242,1243,1244,1244,1242,1242,1242,1242,1252,1252,1252,1254,1254,1254,1254,1254,1254,1254,1254,1256,1256,1256,1281,1281,1281,1284,1284,1270,1281,1281,1281,1281,1281,1281,1279,1279,1285,1285,1285,1285,1285,1285,1285,1285,1286,1285,1285,1285,1285,1285,1285,1285,1285,1285,1302,1317,1317,1317,1318,1318,1318,1318,1318,1318,1318,1318,1318,https://github.com/google/ms-tpm-20-ref/blob/d7a7c200fae3ab947efef8902d219072de94cc3e/README.md,https://github.com/google/ms-tpm-20-ref/blob/467abca240c5f55f5ad83287eccb079b9a293dec/TPMCmd/tpm/src/support/TpmSizeChecks.c#L1
TPMCmd,repo,README.md,.,-,1,1,1,1,1,1,1,3,3,6,8,8,8,8,8,8,8,8,20,20,20,20,20,20,20,20,20,20,20,218,218,236,237,237,237,237,237,237,237,237,237,237,239,239,239,239,239,239,239,239,239,239,224,224,224,224,224,224,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,233,233,233,233,233,233,233,233,233,233,244,244,244,244,244,244,244,244,244,244,244,244,244,https://github.com/google/ms-tpm-20-ref/blob/d7a7c200fae3ab947efef8902d219072de94cc3e/README.md,https://github.com/google/ms-tpm-20-ref/blob/467abca240c5f55f5ad83287eccb079b9a293dec/TPMCmd/tpm/Tpm.vcxproj#L48
TpmProfile.h,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,11,11,21,25,25,25,25,25,25,25,25,25,25,25,25,https://github.com/google/ms-tpm-20-ref/blob/d7a7c200fae3ab947efef8902d219072de94cc3e/README.md,https://github.com/google/ms-tpm-20-ref/blob/467abca240c5f55f5ad83287eccb079b9a293dec/TPMCmd/tpm/include/TpmBuildSwitches.h#L199
TpmTypes,repo,README.md,.,-,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,10,10,10,10,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,13,13,13,13,13,13,13,13,13,13,13,13,https://github.com/google/ms-tpm-20-ref/blob/d7a7c200fae3ab947efef8902d219072de94cc3e/README.md,https://github.com/google/ms-tpm-20-ref/blob/467abca240c5f55f5ad83287eccb079b9a293dec/TPMCmd/tpm/src/support/TpmFail.c#L41
VENDOR_STRING_1,repo,README.md,.,-,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,https://github.com/google/ms-tpm-20-ref/blob/d7a7c200fae3ab947efef8902d219072de94cc3e/README.md,https://github.com/google/ms-tpm-20-ref/blob/467abca240c5f55f5ad83287eccb079b9a293dec/TPMCmd/tpm/src/support/TpmFail.c#L360
VendorString,repo,README.md,.,-,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,11,11,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,13,13,13,13,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,https://github.com/google/ms-tpm-20-ref/blob/d7a7c200fae3ab947efef8902d219072de94cc3e/README.md,https://github.com/google/ms-tpm-20-ref/blob/467abca240c5f55f5ad83287eccb079b9a293dec/TPMCmd/tpm/include/VendorString.h#L48
WolfDebug,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,123,123,123,123,123,123,123,123,123,123,123,123,145,145,145,145,145,145,145,145,145,145,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,https://github.com/google/ms-tpm-20-ref/blob/d7a7c200fae3ab947efef8902d219072de94cc3e/README.md,https://github.com/google/ms-tpm-20-ref/blob/467abca240c5f55f5ad83287eccb079b9a293dec/TPMCmd/tpm/src/crypt/wolf/wolfssl.vcxproj#L12
WolfRelease,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,150,150,150,150,150,150,150,150,150,124,124,124,124,124,124,124,124,124,124,124,124,145,145,145,145,145,145,145,145,145,145,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,https://github.com/google/ms-tpm-20-ref/blob/d7a7c200fae3ab947efef8902d219072de94cc3e/README.md,https://github.com/google/ms-tpm-20-ref/blob/467abca240c5f55f5ad83287eccb079b9a293dec/TPMCmd/tpm/src/crypt/wolf/wolfssl.vcxproj#L20
