code_element,page_type,page_name,rev_1,rev_2,rev_3,doc_link,source_link
/tfhub,repo,README.md,2,2,2,https://github.com/google/tcav-for-ehr/blob/de6fd543bc93579a3a631755da24340d0cce26b2/README.md,https://github.com/google/tcav-for-ehr/blob/36ed40518249870e6899c89a1913e6e10c382c08/synthetic_dataset_figures.ipynb#L326
CAV,repo,README.md,47,47,47,https://github.com/google/tcav-for-ehr/blob/de6fd543bc93579a3a631755da24340d0cce26b2/README.md,https://github.com/google/tcav-for-ehr/blob/36ed40518249870e6899c89a1913e6e10c382c08/tcav_utils.py#L311
CS,repo,README.md,19,19,19,https://github.com/google/tcav-for-ehr/blob/de6fd543bc93579a3a631755da24340d0cce26b2/README.md,https://github.com/google/tcav-for-ehr/blob/36ed40518249870e6899c89a1913e6e10c382c08/synthetic_dataset_figures.ipynb#L429
GRU,repo,README.md,1,1,1,https://github.com/google/tcav-for-ehr/blob/de6fd543bc93579a3a631755da24340d0cce26b2/README.md,https://github.com/google/tcav-for-ehr/blob/36ed40518249870e6899c89a1913e6e10c382c08/models.py#L148
LSTM,repo,README.md,2,2,2,https://github.com/google/tcav-for-ehr/blob/de6fd543bc93579a3a631755da24340d0cce26b2/README.md,https://github.com/google/tcav-for-ehr/blob/36ed40518249870e6899c89a1913e6e10c382c08/train_model.py#L28
List[int],repo,README.md,17,17,17,https://github.com/google/tcav-for-ehr/blob/de6fd543bc93579a3a631755da24340d0cce26b2/README.md,https://github.com/google/tcav-for-ehr/blob/36ed40518249870e6899c89a1913e6e10c382c08/train_utils.py#L195
RNN,repo,README.md,10,10,10,https://github.com/google/tcav-for-ehr/blob/de6fd543bc93579a3a631755da24340d0cce26b2/README.md,https://github.com/google/tcav-for-ehr/blob/36ed40518249870e6899c89a1913e6e10c382c08/train_utils.py#L212
TCAV,repo,README.md,6,6,6,https://github.com/google/tcav-for-ehr/blob/de6fd543bc93579a3a631755da24340d0cce26b2/README.md,https://github.com/google/tcav-for-ehr/blob/36ed40518249870e6899c89a1913e6e10c382c08/tcav_utils.py#L16
balanced_accuracy,repo,README.md,6,6,6,https://github.com/google/tcav-for-ehr/blob/de6fd543bc93579a3a631755da24340d0cce26b2/README.md,https://github.com/google/tcav-for-ehr/blob/36ed40518249870e6899c89a1913e6e10c382c08/synthetic_dataset_figures.ipynb#L350
batch_size,repo,README.md,49,49,49,https://github.com/google/tcav-for-ehr/blob/de6fd543bc93579a3a631755da24340d0cce26b2/README.md,https://github.com/google/tcav-for-ehr/blob/36ed40518249870e6899c89a1913e6e10c382c08/verifying_synthetic_dataset.ipynb#L108
cav_classifier_early_stopping,repo,README.md,6,6,6,https://github.com/google/tcav-for-ehr/blob/de6fd543bc93579a3a631755da24340d0cce26b2/README.md,https://github.com/google/tcav-for-ehr/blob/36ed40518249870e6899c89a1913e6e10c382c08/create_cavs.py#L56
cav_classifier_mode,repo,README.md,8,8,8,https://github.com/google/tcav-for-ehr/blob/de6fd543bc93579a3a631755da24340d0cce26b2/README.md,https://github.com/google/tcav-for-ehr/blob/36ed40518249870e6899c89a1913e6e10c382c08/create_cavs.py#L49
cavs_path,repo,README.md,13,13,13,https://github.com/google/tcav-for-ehr/blob/de6fd543bc93579a3a631755da24340d0cce26b2/README.md,https://github.com/google/tcav-for-ehr/blob/36ed40518249870e6899c89a1913e6e10c382c08/run_cs_tca.py#L34
checkpoint_directory,repo,README.md,6,6,6,https://github.com/google/tcav-for-ehr/blob/de6fd543bc93579a3a631755da24340d0cce26b2/README.md,https://github.com/google/tcav-for-ehr/blob/36ed40518249870e6899c89a1913e6e10c382c08/train_utils.py#L101
conda,repo,README.md,7,8,8,https://github.com/google/tcav-for-ehr/blob/de6fd543bc93579a3a631755da24340d0cce26b2/README.md,https://github.com/google/tcav-for-ehr/blob/36ed40518249870e6899c89a1913e6e10c382c08/init.sh#L28
conda_env,repo,README.md,3,5,5,https://github.com/google/tcav-for-ehr/blob/de6fd543bc93579a3a631755da24340d0cce26b2/README.md,https://github.com/google/tcav-for-ehr/blob/36ed40518249870e6899c89a1913e6e10c382c08/init.sh#L33
create_cavs,repo,README.md,3,3,3,https://github.com/google/tcav-for-ehr/blob/de6fd543bc93579a3a631755da24340d0cce26b2/README.md,https://github.com/google/tcav-for-ehr/blob/36ed40518249870e6899c89a1913e6e10c382c08/synthetic_dataset_figures.ipynb#L196
dataset_configs.py,repo,README.md,1,1,1,https://github.com/google/tcav-for-ehr/blob/de6fd543bc93579a3a631755da24340d0cce26b2/README.md,code_element is a file name
dataset_name,repo,README.md,5,5,5,https://github.com/google/tcav-for-ehr/blob/de6fd543bc93579a3a631755da24340d0cce26b2/README.md,https://github.com/google/tcav-for-ehr/blob/36ed40518249870e6899c89a1913e6e10c382c08/generate_dataset.py#L65
dataset_path,repo,README.md,25,25,25,https://github.com/google/tcav-for-ehr/blob/de6fd543bc93579a3a631755da24340d0cce26b2/README.md,https://github.com/google/tcav-for-ehr/blob/36ed40518249870e6899c89a1913e6e10c382c08/train_utils.py#L193
dataset_specs.py,repo,README.md,1,1,1,https://github.com/google/tcav-for-ehr/blob/de6fd543bc93579a3a631755da24340d0cce26b2/README.md,code_element is a file name
datasets,repo,README.md,22,22,22,https://github.com/google/tcav-for-ehr/blob/de6fd543bc93579a3a631755da24340d0cce26b2/README.md,https://github.com/google/tcav-for-ehr/blob/36ed40518249870e6899c89a1913e6e10c382c08/verifying_synthetic_dataset.ipynb#L14
export_dir,repo,README.md,4,4,4,https://github.com/google/tcav-for-ehr/blob/de6fd543bc93579a3a631755da24340d0cce26b2/README.md,https://github.com/google/tcav-for-ehr/blob/36ed40518249870e6899c89a1913e6e10c382c08/generate_dataset.py#L38
float,repo,README.md,43,43,43,https://github.com/google/tcav-for-ehr/blob/de6fd543bc93579a3a631755da24340d0cce26b2/README.md,https://github.com/google/tcav-for-ehr/blob/36ed40518249870e6899c89a1913e6e10c382c08/train_utils.py#L53
generate_dataset,repo,README.md,2,2,2,https://github.com/google/tcav-for-ehr/blob/de6fd543bc93579a3a631755da24340d0cce26b2/README.md,https://github.com/google/tcav-for-ehr/blob/36ed40518249870e6899c89a1913e6e10c382c08/generate_dataset.py#L73
generate_dataset.py,repo,README.md,1,1,1,https://github.com/google/tcav-for-ehr/blob/de6fd543bc93579a3a631755da24340d0cce26b2/README.md,code_element is a file name
hidden_sizes,repo,README.md,11,11,11,https://github.com/google/tcav-for-ehr/blob/de6fd543bc93579a3a631755da24340d0cce26b2/README.md,https://github.com/google/tcav-for-ehr/blob/36ed40518249870e6899c89a1913e6e10c382c08/train_utils.py#L195
input_dropout_prob,repo,README.md,10,10,10,https://github.com/google/tcav-for-ehr/blob/de6fd543bc93579a3a631755da24340d0cce26b2/README.md,https://github.com/google/tcav-for-ehr/blob/36ed40518249870e6899c89a1913e6e10c382c08/train_utils.py#L196
int,repo,README.md,77,77,77,https://github.com/google/tcav-for-ehr/blob/de6fd543bc93579a3a631755da24340d0cce26b2/README.md,https://github.com/google/tcav-for-ehr/blob/36ed40518249870e6899c89a1913e6e10c382c08/train_utils.py#L86
l1_regularization_scale,repo,README.md,10,10,10,https://github.com/google/tcav-for-ehr/blob/de6fd543bc93579a3a631755da24340d0cce26b2/README.md,https://github.com/google/tcav-for-ehr/blob/36ed40518249870e6899c89a1913e6e10c382c08/train_utils.py#L139
learning_rate,repo,README.md,7,7,7,https://github.com/google/tcav-for-ehr/blob/de6fd543bc93579a3a631755da24340d0cce26b2/README.md,https://github.com/google/tcav-for-ehr/blob/36ed40518249870e6899c89a1913e6e10c382c08/train_utils.py#L200
linear_model_type,repo,README.md,6,6,6,https://github.com/google/tcav-for-ehr/blob/de6fd543bc93579a3a631755da24340d0cce26b2/README.md,https://github.com/google/tcav-for-ehr/blob/36ed40518249870e6899c89a1913e6e10c382c08/create_cavs.py#L38
logging_interval,repo,README.md,6,6,6,https://github.com/google/tcav-for-ehr/blob/de6fd543bc93579a3a631755da24340d0cce26b2/README.md,https://github.com/google/tcav-for-ehr/blob/36ed40518249870e6899c89a1913e6e10c382c08/train_utils.py#L204
model_cell_type,repo,README.md,5,5,5,https://github.com/google/tcav-for-ehr/blob/de6fd543bc93579a3a631755da24340d0cce26b2/README.md,https://github.com/google/tcav-for-ehr/blob/36ed40518249870e6899c89a1913e6e10c382c08/train_model.py#L28
model_checkpoint_path,repo,README.md,4,4,4,https://github.com/google/tcav-for-ehr/blob/de6fd543bc93579a3a631755da24340d0cce26b2/README.md,https://github.com/google/tcav-for-ehr/blob/36ed40518249870e6899c89a1913e6e10c382c08/synthetic_dataset_figures.ipynb#L326
model_checkpoints,repo,README.md,2,2,2,https://github.com/google/tcav-for-ehr/blob/de6fd543bc93579a3a631755da24340d0cce26b2/README.md,https://github.com/google/tcav-for-ehr/blob/36ed40518249870e6899c89a1913e6e10c382c08/train_model.py#L68
model_path,repo,README.md,24,24,24,https://github.com/google/tcav-for-ehr/blob/de6fd543bc93579a3a631755da24340d0cce26b2/README.md,https://github.com/google/tcav-for-ehr/blob/36ed40518249870e6899c89a1913e6e10c382c08/tcav_eval_utils.py#L137
model_seed,repo,README.md,5,5,5,https://github.com/google/tcav-for-ehr/blob/de6fd543bc93579a3a631755da24340d0cce26b2/README.md,https://github.com/google/tcav-for-ehr/blob/36ed40518249870e6899c89a1913e6e10c382c08/train_model.py#L34
none,repo,README.md,9,9,9,https://github.com/google/tcav-for-ehr/blob/de6fd543bc93579a3a631755da24340d0cce26b2/README.md,https://github.com/google/tcav-for-ehr/blob/36ed40518249870e6899c89a1913e6e10c382c08/train_utils.py#L222
num_bootstrapped_datasets,repo,README.md,20,20,20,https://github.com/google/tcav-for-ehr/blob/de6fd543bc93579a3a631755da24340d0cce26b2/README.md,https://github.com/google/tcav-for-ehr/blob/36ed40518249870e6899c89a1913e6e10c382c08/tcav_utils.py#L181
num_permutations,repo,README.md,20,20,20,https://github.com/google/tcav-for-ehr/blob/de6fd543bc93579a3a631755da24340d0cce26b2/README.md,https://github.com/google/tcav-for-ehr/blob/36ed40518249870e6899c89a1913e6e10c382c08/tcav_utils.py#L183
num_test,repo,README.md,2,2,2,https://github.com/google/tcav-for-ehr/blob/de6fd543bc93579a3a631755da24340d0cce26b2/README.md,https://github.com/google/tcav-for-ehr/blob/36ed40518249870e6899c89a1913e6e10c382c08/generate_dataset.py#L43
num_train,repo,README.md,5,5,5,https://github.com/google/tcav-for-ehr/blob/de6fd543bc93579a3a631755da24340d0cce26b2/README.md,https://github.com/google/tcav-for-ehr/blob/36ed40518249870e6899c89a1913e6e10c382c08/tcav_utils.py#L98
num_train_steps,repo,README.md,7,7,7,https://github.com/google/tcav-for-ehr/blob/de6fd543bc93579a3a631755da24340d0cce26b2/README.md,https://github.com/google/tcav-for-ehr/blob/36ed40518249870e6899c89a1913e6e10c382c08/train_utils.py#L201
output_dir,repo,README.md,21,21,21,https://github.com/google/tcav-for-ehr/blob/de6fd543bc93579a3a631755da24340d0cce26b2/README.md,https://github.com/google/tcav-for-ehr/blob/36ed40518249870e6899c89a1913e6e10c382c08/synthetic_dataset_figures.ipynb#L196
output_dropout_prob,repo,README.md,10,10,10,https://github.com/google/tcav-for-ehr/blob/de6fd543bc93579a3a631755da24340d0cce26b2/README.md,https://github.com/google/tcav-for-ehr/blob/36ed40518249870e6899c89a1913e6e10c382c08/train_utils.py#L197
run_cs_tca,repo,README.md,4,4,4,https://github.com/google/tcav-for-ehr/blob/de6fd543bc93579a3a631755da24340d0cce26b2/README.md,https://github.com/google/tcav-for-ehr/blob/36ed40518249870e6899c89a1913e6e10c382c08/synthetic_dataset_figures.ipynb#L173
scaling_types,repo,README.md,4,4,4,https://github.com/google/tcav-for-ehr/blob/de6fd543bc93579a3a631755da24340d0cce26b2/README.md,https://github.com/google/tcav-for-ehr/blob/36ed40518249870e6899c89a1913e6e10c382c08/generate_dataset.py#L39
state_dropout_prob,repo,README.md,10,10,10,https://github.com/google/tcav-for-ehr/blob/de6fd543bc93579a3a631755da24340d0cce26b2/README.md,https://github.com/google/tcav-for-ehr/blob/36ed40518249870e6899c89a1913e6e10c382c08/train_utils.py#L198
str,repo,README.md,86,86,86,https://github.com/google/tcav-for-ehr/blob/de6fd543bc93579a3a631755da24340d0cce26b2/README.md,https://github.com/google/tcav-for-ehr/blob/36ed40518249870e6899c89a1913e6e10c382c08/train_utils.py#L87
suffix,repo,README.md,8,8,8,https://github.com/google/tcav-for-ehr/blob/de6fd543bc93579a3a631755da24340d0cce26b2/README.md,https://github.com/google/tcav-for-ehr/blob/36ed40518249870e6899c89a1913e6e10c382c08/generate_dataset.py#L45
synthetic_accuracy_threshold,repo,README.md,6,6,6,https://github.com/google/tcav-for-ehr/blob/de6fd543bc93579a3a631755da24340d0cce26b2/README.md,https://github.com/google/tcav-for-ehr/blob/36ed40518249870e6899c89a1913e6e10c382c08/create_cavs.py#L64
synthetic_changepoint_lookahead,repo,README.md,2,2,2,https://github.com/google/tcav-for-ehr/blob/de6fd543bc93579a3a631755da24340d0cce26b2/README.md,https://github.com/google/tcav-for-ehr/blob/36ed40518249870e6899c89a1913e6e10c382c08/create_cavs.py#L72
synthetic_changepoint_lookback,repo,README.md,2,2,2,https://github.com/google/tcav-for-ehr/blob/de6fd543bc93579a3a631755da24340d0cce26b2/README.md,https://github.com/google/tcav-for-ehr/blob/36ed40518249870e6899c89a1913e6e10c382c08/create_cavs.py#L68
synthetic_dataset_figures,repo,README.md,1,1,1,https://github.com/google/tcav-for-ehr/blob/de6fd543bc93579a3a631755da24340d0cce26b2/README.md,https://github.com/google/tcav-for-ehr/blob/36ed40518249870e6899c89a1913e6e10c382c08/synthetic_dataset_figures.ipynb#L939
synthetic_n_eval,repo,README.md,22,22,22,https://github.com/google/tcav-for-ehr/blob/de6fd543bc93579a3a631755da24340d0cce26b2/README.md,https://github.com/google/tcav-for-ehr/blob/36ed40518249870e6899c89a1913e6e10c382c08/synthetic_dataset_figures.ipynb#L173
synthetic_ntrains,repo,README.md,7,7,7,https://github.com/google/tcav-for-ehr/blob/de6fd543bc93579a3a631755da24340d0cce26b2/README.md,https://github.com/google/tcav-for-ehr/blob/36ed40518249870e6899c89a1913e6e10c382c08/create_cavs.py#L59
tCA,repo,README.md,14,14,14,https://github.com/google/tcav-for-ehr/blob/de6fd543bc93579a3a631755da24340d0cce26b2/README.md,https://github.com/google/tcav-for-ehr/blob/36ed40518249870e6899c89a1913e6e10c382c08/synthetic_dataset_figures.ipynb#L429
train_model,repo,README.md,2,2,2,https://github.com/google/tcav-for-ehr/blob/de6fd543bc93579a3a631755da24340d0cce26b2/README.md,https://github.com/google/tcav-for-ehr/blob/36ed40518249870e6899c89a1913e6e10c382c08/train_utils.py#L192
training_id,repo,README.md,3,3,3,https://github.com/google/tcav-for-ehr/blob/de6fd543bc93579a3a631755da24340d0cce26b2/README.md,https://github.com/google/tcav-for-ehr/blob/36ed40518249870e6899c89a1913e6e10c382c08/train_model.py#L39
