code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,doc_link,source_link
*.bin,repo,README.md,0,0,0,0,0,0,0,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/prudaq/blob/19be80e0a4073e3a438359c989699c3d38970d5d/README.md,https://github.com/google/prudaq/blob/d5cd47c7594bc9cf688be41635beecb70ab9f5d8/.gitignore#L1
10MHz,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,4,4,4,4,-,-,-,-,-,-,https://github.com/google/prudaq/blob/19be80e0a4073e3a438359c989699c3d38970d5d/README.md,https://github.com/google/prudaq/blob/de93018c9d6cd3905d43fcfb3a67e6d6330e0968/doc/Performance.md#L41
10MSPS,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,1,1,-,-,-,-,-,-,https://github.com/google/prudaq/blob/19be80e0a4073e3a438359c989699c3d38970d5d/README.md,https://github.com/google/prudaq/blob/de93018c9d6cd3905d43fcfb3a67e6d6330e0968/doc/QuickStart.md#L51
1GHz,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,-,-,-,-,-,-,https://github.com/google/prudaq/blob/19be80e0a4073e3a438359c989699c3d38970d5d/README.md,https://github.com/google/prudaq/blob/de93018c9d6cd3905d43fcfb3a67e6d6330e0968/doc/Performance.md#L39
1V,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,3,3,-,-,-,-,-,-,https://github.com/google/prudaq/blob/19be80e0a4073e3a438359c989699c3d38970d5d/README.md,https://github.com/google/prudaq/blob/de93018c9d6cd3905d43fcfb3a67e6d6330e0968/doc/QuickStart.md#L17
20MHz,repo,README.md,1,1,1,4,5,5,6,6,6,6,3,6,6,6,6,6,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/prudaq/blob/19be80e0a4073e3a438359c989699c3d38970d5d/README.md,https://github.com/google/prudaq/blob/36da22f0c1dd76d68dea3c4599ff104b5f29776c/eagle/daq-beaglebone.brd#L163
262144B,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/prudaq/blob/19be80e0a4073e3a438359c989699c3d38970d5d/README.md,https://github.com/google/prudaq/blob/36da22f0c1dd76d68dea3c4599ff104b5f29776c/src/examples/round_robin/README.md#L10
2MSPS,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,-,-,-,-,-,-,https://github.com/google/prudaq/blob/19be80e0a4073e3a438359c989699c3d38970d5d/README.md,https://github.com/google/prudaq/blob/de93018c9d6cd3905d43fcfb3a67e6d6330e0968/src/examples/round_robin/pru0-round-robin.p#L31
2V,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,7,7,7,8,8,-,-,-,-,-,-,https://github.com/google/prudaq/blob/19be80e0a4073e3a438359c989699c3d38970d5d/README.md,https://github.com/google/prudaq/blob/de93018c9d6cd3905d43fcfb3a67e6d6330e0968/eagle/daq-beaglebone.sch#L3008
40MSPS,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,-,-,-,-,-,-,https://github.com/google/prudaq/blob/19be80e0a4073e3a438359c989699c3d38970d5d/README.md,https://github.com/google/prudaq/blob/de93018c9d6cd3905d43fcfb3a67e6d6330e0968/doc/Performance.md#L49
512MB,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,-,-,-,-,-,-,https://github.com/google/prudaq/blob/19be80e0a4073e3a438359c989699c3d38970d5d/README.md,https://github.com/google/prudaq/blob/de93018c9d6cd3905d43fcfb3a67e6d6330e0968/doc/Performance.md#L39
5MSPS,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,1,1,1,1,-,-,-,-,-,-,https://github.com/google/prudaq/blob/19be80e0a4073e3a438359c989699c3d38970d5d/README.md,https://github.com/google/prudaq/blob/de93018c9d6cd3905d43fcfb3a67e6d6330e0968/src/prudaq_capture.c#L187
ADC,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,52,53,53,53,57,57,-,-,-,-,-,-,https://github.com/google/prudaq/blob/19be80e0a4073e3a438359c989699c3d38970d5d/README.md,https://github.com/google/prudaq/blob/de93018c9d6cd3905d43fcfb3a67e6d6330e0968/src/shared_header.h#L51
ARMv7,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,-,-,-,-,-,-,https://github.com/google/prudaq/blob/19be80e0a4073e3a438359c989699c3d38970d5d/README.md,https://github.com/google/prudaq/blob/de93018c9d6cd3905d43fcfb3a67e6d6330e0968/doc/Performance.md#L39
BeagleBone,repo,README.md,-,-,-,-,-,-,-,7,7,7,7,19,19,19,19,19,19,19,19,19,33,33,-,-,-,-,-,-,https://github.com/google/prudaq/blob/19be80e0a4073e3a438359c989699c3d38970d5d/README.md,https://github.com/google/prudaq/blob/de93018c9d6cd3905d43fcfb3a67e6d6330e0968/doc/QuickStart.md#L21
BeagleLogic,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,9,9,9,17,17,-,-,-,-,-,-,https://github.com/google/prudaq/blob/19be80e0a4073e3a438359c989699c3d38970d5d/README.md,https://github.com/google/prudaq/blob/de93018c9d6cd3905d43fcfb3a67e6d6330e0968/src/setup.sh#L30
CPU,repo,README.md,0,0,0,0,0,0,0,1,1,7,7,17,17,17,18,18,18,19,19,19,19,19,-,-,-,-,-,-,https://github.com/google/prudaq/blob/19be80e0a4073e3a438359c989699c3d38970d5d/README.md,https://github.com/google/prudaq/blob/de93018c9d6cd3905d43fcfb3a67e6d6330e0968/src/shared_header.h#L32
