code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,doc_link,source_link
AutoML,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,2,2,7,7,8,https://github.com/google/automl-video-ondevice/blob/ae06d7498741bbe9493711654eab9153b19c3104/README.md,https://github.com/google/automl-video-ondevice/blob/53b3b411240e5eeb47dee3e2197eb592dbfaf57d/tools/trt_compiler.py#L15
CPU,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,3,3,https://github.com/google/automl-video-ondevice/blob/ae06d7498741bbe9493711654eab9153b19c3104/README.md,https://github.com/google/automl-video-ondevice/blob/53b3b411240e5eeb47dee3e2197eb592dbfaf57d/automl_video_ondevice/object_tracking/tflite_object_detection.py#L71
EdgeTPU,repo,README.md,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,8,9,9,9,9,9,https://github.com/google/automl-video-ondevice/blob/ae06d7498741bbe9493711654eab9153b19c3104/README.md,https://github.com/google/automl-video-ondevice/blob/53b3b411240e5eeb47dee3e2197eb592dbfaf57d/examples/video_file_demo.py#L21
NVIDIA,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,10,20,21,https://github.com/google/automl-video-ondevice/blob/ae06d7498741bbe9493711654eab9153b19c3104/README.md,https://github.com/google/automl-video-ondevice/blob/53b3b411240e5eeb47dee3e2197eb592dbfaf57d/examples/modify_onnx_model_opset10.py#L1
ONNX,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,4,https://github.com/google/automl-video-ondevice/blob/ae06d7498741bbe9493711654eab9153b19c3104/README.md,https://github.com/google/automl-video-ondevice/blob/53b3b411240e5eeb47dee3e2197eb592dbfaf57d/examples/modify_onnx_model_opset10.py#L14
TF,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,7,9,9,14,14,14,https://github.com/google/automl-video-ondevice/blob/ae06d7498741bbe9493711654eab9153b19c3104/README.md,https://github.com/google/automl-video-ondevice/blob/53b3b411240e5eeb47dee3e2197eb592dbfaf57d/automl_video_ondevice/shot_classification/tf_shot_classification.py#L16
TFLite,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,7,7,7,7,7,8,https://github.com/google/automl-video-ondevice/blob/ae06d7498741bbe9493711654eab9153b19c3104/README.md,https://github.com/google/automl-video-ondevice/blob/53b3b411240e5eeb47dee3e2197eb592dbfaf57d/automl_video_ondevice/utils.py#L49
TRT,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,5,6,6,12,17,22,https://github.com/google/automl-video-ondevice/blob/ae06d7498741bbe9493711654eab9153b19c3104/README.md,https://github.com/google/automl-video-ondevice/blob/53b3b411240e5eeb47dee3e2197eb592dbfaf57d/examples/modify_onnx_model_opset10.py#L69
TensorFlow,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,https://github.com/google/automl-video-ondevice/blob/ae06d7498741bbe9493711654eab9153b19c3104/README.md,https://github.com/google/automl-video-ondevice/blob/53b3b411240e5eeb47dee3e2197eb592dbfaf57d/automl_video_ondevice/utils.py#L48
TensorRT,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,3,https://github.com/google/automl-video-ondevice/blob/ae06d7498741bbe9493711654eab9153b19c3104/README.md,https://github.com/google/automl-video-ondevice/blob/53b3b411240e5eeb47dee3e2197eb592dbfaf57d/examples/modify_onnx_model_opset10.py#L14
detection_boxes:0,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,https://github.com/google/automl-video-ondevice/blob/ae06d7498741bbe9493711654eab9153b19c3104/README.md,https://github.com/google/automl-video-ondevice/blob/53b3b411240e5eeb47dee3e2197eb592dbfaf57d/examples/modify_onnx_model_opset10.py#L87
detection_classes:0,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,https://github.com/google/automl-video-ondevice/blob/ae06d7498741bbe9493711654eab9153b19c3104/README.md,https://github.com/google/automl-video-ondevice/blob/53b3b411240e5eeb47dee3e2197eb592dbfaf57d/examples/modify_onnx_model_opset10.py#L145
detection_scores:0,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,https://github.com/google/automl-video-ondevice/blob/ae06d7498741bbe9493711654eab9153b19c3104/README.md,https://github.com/google/automl-video-ondevice/blob/53b3b411240e5eeb47dee3e2197eb592dbfaf57d/examples/modify_onnx_model_opset10.py#L88
fold_const,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,https://github.com/google/automl-video-ondevice/blob/ae06d7498741bbe9493711654eab9153b19c3104/README.md,https://github.com/google/automl-video-ondevice/blob/53b3b411240e5eeb47dee3e2197eb592dbfaf57d/examples/generate_onnx_model_opset10.sh#L17
frozen_inference_graph,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,https://github.com/google/automl-video-ondevice/blob/ae06d7498741bbe9493711654eab9153b19c3104/README.md,https://github.com/google/automl-video-ondevice/blob/53b3b411240e5eeb47dee3e2197eb592dbfaf57d/examples/generate_onnx_model_opset10.sh#L17
image_path,repo,README.md,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,-,-,-,-,-,-,-,https://github.com/google/automl-video-ondevice/blob/ae06d7498741bbe9493711654eab9153b19c3104/README.md,https://github.com/google/automl-video-ondevice/blob/af3f7723583f184757a39e2dbfb115cc26bd398d/tools/visualizer.sh#L18
