code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,doc_link,source_link
JavaSampleCode,wiki,Home.md,.,.,.,.,.,.,.,.,.,-,-,1,1,1,1,1,1,1,1,https://github.com/google/gmail-oauth2-tools/wiki/Home/77a1badcfa186b473106dee9512a749e9191118a,https://github.com/google/gmail-oauth2-tools/blob/e3229155a4037267ce40f1a3a681f53221aa4d8d/java/README-java-sample.txt#L8
PhpSampleCode,wiki,Home.md,.,.,.,.,.,.,.,.,.,-,-,1,0,0,0,0,0,0,0,https://github.com/google/gmail-oauth2-tools/wiki/Home/77a1badcfa186b473106dee9512a749e9191118a,https://github.com/google/gmail-oauth2-tools/blob/5635f520cd48b40d66b3ee516dc9b04094c4269a/php/oauth2.php#L17
API,wiki,JavaSampleCode.md,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,2,https://github.com/google/gmail-oauth2-tools/wiki/JavaSampleCode/9d3e19cd04c2e35266c57c0461da8af3e8a24247,https://github.com/google/gmail-oauth2-tools/blob/e3229155a4037267ce40f1a3a681f53221aa4d8d/go/sendgmail/README.md#L10
EE,wiki,JavaSampleCode.md,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,2,2,2,2,https://github.com/google/gmail-oauth2-tools/wiki/JavaSampleCode/9d3e19cd04c2e35266c57c0461da8af3e8a24247,https://github.com/google/gmail-oauth2-tools/blob/e3229155a4037267ce40f1a3a681f53221aa4d8d/obsolete/java/build.properties#L17
IMAP,wiki,JavaSampleCode.md,.,.,.,.,.,.,.,.,.,17,17,17,17,17,17,36,36,36,36,https://github.com/google/gmail-oauth2-tools/wiki/JavaSampleCode/9d3e19cd04c2e35266c57c0461da8af3e8a24247,https://github.com/google/gmail-oauth2-tools/blob/e3229155a4037267ce40f1a3a681f53221aa4d8d/python/oauth2.py#L17
JAR,wiki,JavaSampleCode.md,.,.,.,.,.,.,.,.,.,2,2,2,2,2,2,4,4,4,4,https://github.com/google/gmail-oauth2-tools/wiki/JavaSampleCode/9d3e19cd04c2e35266c57c0461da8af3e8a24247,https://github.com/google/gmail-oauth2-tools/blob/e3229155a4037267ce40f1a3a681f53221aa4d8d/obsolete/java/build.properties#L17
JavaMail,wiki,JavaSampleCode.md,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,1,1,1,1,https://github.com/google/gmail-oauth2-tools/wiki/JavaSampleCode/9d3e19cd04c2e35266c57c0461da8af3e8a24247,https://github.com/google/gmail-oauth2-tools/blob/e3229155a4037267ce40f1a3a681f53221aa4d8d/obsolete/java/com/google/code/samples/xoauth/XoauthAuthenticator.java#L151
OAuth2Authenticator,wiki,JavaSampleCode.md,.,.,.,.,.,.,.,.,.,5,5,5,5,5,5,5,5,5,5,https://github.com/google/gmail-oauth2-tools/wiki/JavaSampleCode/9d3e19cd04c2e35266c57c0461da8af3e8a24247,https://github.com/google/gmail-oauth2-tools/blob/e3229155a4037267ce40f1a3a681f53221aa4d8d/java/com/google/code/samples/oauth2/OAuth2Authenticator.java#L37
SMTP,wiki,JavaSampleCode.md,.,.,.,.,.,.,.,.,.,8,8,8,8,8,8,22,22,22,22,https://github.com/google/gmail-oauth2-tools/wiki/JavaSampleCode/9d3e19cd04c2e35266c57c0461da8af3e8a24247,https://github.com/google/gmail-oauth2-tools/blob/e3229155a4037267ce40f1a3a681f53221aa4d8d/python/oauth2.py#L51
SaslClient,wiki,JavaSampleCode.md,.,.,.,.,.,.,.,.,.,5,5,5,5,5,5,11,11,11,11,https://github.com/google/gmail-oauth2-tools/wiki/JavaSampleCode/9d3e19cd04c2e35266c57c0461da8af3e8a24247,https://github.com/google/gmail-oauth2-tools/blob/e3229155a4037267ce40f1a3a681f53221aa4d8d/obsolete/java/com/google/code/samples/xoauth/XoauthSaslResponseBuilder.java#L45
ZIP,wiki,JavaSampleCode.md,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1,https://github.com/google/gmail-oauth2-tools/wiki/JavaSampleCode/9d3e19cd04c2e35266c57c0461da8af3e8a24247,https://github.com/google/gmail-oauth2-tools/blob/e3229155a4037267ce40f1a3a681f53221aa4d8d/java/build-java-sample-zip.sh#L21
build.properties,wiki,JavaSampleCode.md,.,.,.,.,.,.,.,.,.,3,3,3,3,3,3,5,5,5,5,https://github.com/google/gmail-oauth2-tools/wiki/JavaSampleCode/9d3e19cd04c2e35266c57c0461da8af3e8a24247,https://github.com/google/gmail-oauth2-tools/blob/e3229155a4037267ce40f1a3a681f53221aa4d8d/obsolete/java/build.xml#L19
connectToImap,wiki,JavaSampleCode.md,.,.,.,.,.,.,.,.,.,2,2,2,2,2,2,4,4,4,4,https://github.com/google/gmail-oauth2-tools/wiki/JavaSampleCode/9d3e19cd04c2e35266c57c0461da8af3e8a24247,https://github.com/google/gmail-oauth2-tools/blob/e3229155a4037267ce40f1a3a681f53221aa4d8d/obsolete/java/com/google/code/samples/xoauth/XoauthAuthenticator.java#L82
email,wiki,JavaSampleCode.md,.,.,.,.,.,.,.,.,.,30,30,30,30,30,30,44,44,44,49,https://github.com/google/gmail-oauth2-tools/wiki/JavaSampleCode/9d3e19cd04c2e35266c57c0461da8af3e8a24247,https://github.com/google/gmail-oauth2-tools/blob/e3229155a4037267ce40f1a3a681f53221aa4d8d/python/oauth2.py#L114
initialize,wiki,JavaSampleCode.md,.,.,.,.,.,.,.,.,.,5,5,5,5,5,5,10,10,10,10,https://github.com/google/gmail-oauth2-tools/wiki/JavaSampleCode/9d3e19cd04c2e35266c57c0461da8af3e8a24247,https://github.com/google/gmail-oauth2-tools/blob/e3229155a4037267ce40f1a3a681f53221aa4d8d/obsolete/java/com/google/code/samples/xoauth/XoauthAuthenticator.java#L36
javamail_jar,wiki,JavaSampleCode.md,.,.,.,.,.,.,.,.,.,3,3,3,3,3,3,6,6,6,6,https://github.com/google/gmail-oauth2-tools/wiki/JavaSampleCode/9d3e19cd04c2e35266c57c0461da8af3e8a24247,https://github.com/google/gmail-oauth2-tools/blob/e3229155a4037267ce40f1a3a681f53221aa4d8d/obsolete/java/build.xml#L36
oauth2-java-sample-20120904,wiki,JavaSampleCode.md,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1,https://github.com/google/gmail-oauth2-tools/wiki/JavaSampleCode/9d3e19cd04c2e35266c57c0461da8af3e8a24247,https://github.com/google/gmail-oauth2-tools/blob/e3229155a4037267ce40f1a3a681f53221aa4d8d/java/build-java-sample-zip.sh#L24
oauthToken,wiki,JavaSampleCode.md,.,.,.,.,.,.,.,.,.,18,18,18,18,18,18,38,38,38,38,https://github.com/google/gmail-oauth2-tools/wiki/JavaSampleCode/9d3e19cd04c2e35266c57c0461da8af3e8a24247,https://github.com/google/gmail-oauth2-tools/blob/e3229155a4037267ce40f1a3a681f53221aa4d8d/obsolete/java/com/google/code/samples/xoauth/XoauthSaslResponseBuilder.java#L50
API,wiki,OAuth2DotPyRunThrough.md,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,2,https://github.com/google/gmail-oauth2-tools/wiki/OAuth2DotPyRunThrough/8de3d74a46f19aff42e02281dd25966b581f6638,https://github.com/google/gmail-oauth2-tools/blob/e3229155a4037267ce40f1a3a681f53221aa4d8d/go/sendgmail/README.md#L10
AUTH,wiki,OAuth2DotPyRunThrough.md,.,.,.,.,.,.,.,.,.,2,2,2,2,2,2,6,6,6,6,https://github.com/google/gmail-oauth2-tools/wiki/OAuth2DotPyRunThrough/8de3d74a46f19aff42e02281dd25966b581f6638,https://github.com/google/gmail-oauth2-tools/blob/e3229155a4037267ce40f1a3a681f53221aa4d8d/python/oauth2.py#L291
AUTHENTICATE,wiki,OAuth2DotPyRunThrough.md,.,.,.,.,.,.,.,.,.,3,3,3,3,3,3,8,8,8,8,https://github.com/google/gmail-oauth2-tools/wiki/OAuth2DotPyRunThrough/8de3d74a46f19aff42e02281dd25966b581f6638,https://github.com/google/gmail-oauth2-tools/blob/e3229155a4037267ce40f1a3a681f53221aa4d8d/python/oauth2.py#L58
CAPABILITY,wiki,OAuth2DotPyRunThrough.md,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1,https://github.com/google/gmail-oauth2-tools/wiki/OAuth2DotPyRunThrough/8de3d74a46f19aff42e02281dd25966b581f6638,https://github.com/google/gmail-oauth2-tools/blob/e3229155a4037267ce40f1a3a681f53221aa4d8d/php/oauth2.php#L66
ID,wiki,OAuth2DotPyRunThrough.md,.,.,.,.,.,.,.,.,.,5,5,5,5,5,5,5,5,5,5,https://github.com/google/gmail-oauth2-tools/wiki/OAuth2DotPyRunThrough/8de3d74a46f19aff42e02281dd25966b581f6638,https://github.com/google/gmail-oauth2-tools/blob/e3229155a4037267ce40f1a3a681f53221aa4d8d/python/oauth2.py#L20
IMAP,wiki,OAuth2DotPyRunThrough.md,.,.,.,.,.,.,.,.,.,17,17,17,17,17,17,36,36,36,36,https://github.com/google/gmail-oauth2-tools/wiki/OAuth2DotPyRunThrough/8de3d74a46f19aff42e02281dd25966b581f6638,https://github.com/google/gmail-oauth2-tools/blob/e3229155a4037267ce40f1a3a681f53221aa4d8d/python/oauth2.py#L17
INBOX,wiki,OAuth2DotPyRunThrough.md,.,.,.,.,.,.,.,.,.,4,4,4,4,4,4,9,9,9,9,https://github.com/google/gmail-oauth2-tools/wiki/OAuth2DotPyRunThrough/8de3d74a46f19aff42e02281dd25966b581f6638,https://github.com/google/gmail-oauth2-tools/blob/e3229155a4037267ce40f1a3a681f53221aa4d8d/python/oauth2.py#L275
