code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,rev_79,rev_80,rev_81,rev_82,rev_83,rev_84,rev_85,rev_86,rev_87,rev_88,rev_89,rev_90,rev_91,rev_92,rev_93,rev_94,rev_95,rev_96,rev_97,rev_98,rev_99,rev_100,rev_101,rev_102,rev_103,rev_104,rev_105,rev_106,rev_107,rev_108,rev_109,rev_110,rev_111,rev_112,rev_113,rev_114,rev_115,rev_116,rev_117,rev_118,rev_119,rev_120,rev_121,rev_122,rev_123,rev_124,rev_125,rev_126,rev_127,rev_128,rev_129,rev_130,rev_131,rev_132,rev_133,rev_134,rev_135,rev_136,rev_137,rev_138,rev_139,doc_link,source_link
3P,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://github.com/google/rba/blob/8ec186cf8045ec50e13c4d2c92afdc29df8f71d6/README.md,https://github.com/google/rba/blob/4465ec8c880813d5e01796948a4eb6b41b9e9dcf/Data Pre-Processing & Feature Selection.ipynb#L3156
AI,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,https://github.com/google/rba/blob/8ec186cf8045ec50e13c4d2c92afdc29df8f71d6/README.md,https://github.com/google/rba/blob/ade334f4103dc26d715da1dc7f4e5c743cec194a/Data Pre-Processing & Feature Selection.ipynb#L1
ANY,repo,README.md,.,1,2,2,2,2,2,3,3,3,3,3,4,4,5,5,6,6,6,6,6,6,5,6,6,6,5,6,6,5,6,6,5,6,5,6,6,5,6,6,6,6,6,6,6,6,6,6,5,6,5,6,6,5,5,5,5,6,6,5,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,4,5,4,5,6,5,6,6,6,5,6,6,6,6,6,6,6,6,5,6,5,6,5,6,6,7,6,7,6,5,6,5,4,4,3,7,7,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,https://github.com/google/rba/blob/8ec186cf8045ec50e13c4d2c92afdc29df8f71d6/README.md,https://github.com/google/rba/blob/03311fcc0781ba1b744ffd097fa01755ea2a1441/Vector Autoregression (VAR).ipynb#L1
AS,repo,README.md,.,1,2,2,2,2,2,3,3,3,3,3,6,6,7,7,8,8,8,8,8,8,7,8,8,8,5,8,8,5,8,8,7,8,7,8,8,7,8,8,8,8,8,8,8,8,8,8,7,8,7,8,8,5,5,5,5,8,8,7,8,8,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,5,4,5,4,5,8,7,8,8,8,7,8,8,8,8,8,8,8,8,7,8,7,8,7,8,8,9,8,9,8,7,8,7,4,4,3,9,9,10,10,10,9,9,9,9,9,10,10,10,10,9,9,9,9,9,9,https://github.com/google/rba/blob/8ec186cf8045ec50e13c4d2c92afdc29df8f71d6/README.md,https://github.com/google/rba/blob/03311fcc0781ba1b744ffd097fa01755ea2a1441/Vector Autoregression (VAR).ipynb#L1
BASIS,repo,README.md,.,1,2,2,2,2,2,3,3,3,3,3,4,4,5,5,6,6,6,6,6,6,5,6,6,6,5,6,6,5,6,6,5,6,5,6,6,5,6,6,6,6,6,6,6,6,6,6,5,6,5,6,6,5,5,5,5,6,6,5,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,4,5,4,5,6,5,6,6,6,5,6,6,6,6,6,6,6,6,5,6,5,6,5,6,6,7,6,7,6,5,6,5,4,4,3,7,7,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,https://github.com/google/rba/blob/8ec186cf8045ec50e13c4d2c92afdc29df8f71d6/README.md,https://github.com/google/rba/blob/03311fcc0781ba1b744ffd097fa01755ea2a1441/Vector Autoregression (VAR).ipynb#L1
BQML,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,0,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/rba/blob/8ec186cf8045ec50e13c4d2c92afdc29df8f71d6/README.md,https://github.com/google/rba/blob/03311fcc0781ba1b744ffd097fa01755ea2a1441/Standard Regression (BQML).ipynb#L1
BigQuery,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,12,12,16,16,16,12,12,12,16,16,16,16,16,16,16,16,16,16,16,16,https://github.com/google/rba/blob/8ec186cf8045ec50e13c4d2c92afdc29df8f71d6/README.md,https://github.com/google/rba/blob/03311fcc0781ba1b744ffd097fa01755ea2a1441/Standard Regression (BQML).ipynb#L1
CONDITIONS,repo,README.md,.,3,4,4,4,4,4,5,5,5,5,5,6,6,7,7,8,8,8,8,8,8,7,8,8,8,7,8,8,7,8,8,7,8,7,8,8,7,8,8,8,8,8,8,8,8,8,8,7,8,7,8,8,7,7,7,7,8,8,7,8,8,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,6,7,6,7,8,7,8,8,8,7,8,8,8,8,8,8,8,8,7,8,7,8,7,8,8,9,8,9,8,7,8,7,6,6,5,9,9,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,https://github.com/google/rba/blob/8ec186cf8045ec50e13c4d2c92afdc29df8f71d6/README.md,https://github.com/google/rba/blob/03311fcc0781ba1b744ffd097fa01755ea2a1441/Vector Autoregression (VAR).ipynb#L1
ID,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,2,1,1,1,2,1,2,2,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,https://github.com/google/rba/blob/8ec186cf8045ec50e13c4d2c92afdc29df8f71d6/README.md,https://github.com/google/rba/blob/ade334f4103dc26d715da1dc7f4e5c743cec194a/Data Pre-Processing & Feature Selection.ipynb#L1
IO,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,https://github.com/google/rba/blob/8ec186cf8045ec50e13c4d2c92afdc29df8f71d6/README.md,https://github.com/google/rba/blob/ade334f4103dc26d715da1dc7f4e5c743cec194a/Data Pre-Processing & Feature Selection.ipynb#L1
