code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,rev_79,rev_80,rev_81,rev_82,rev_83,rev_84,rev_85,rev_86,rev_87,rev_88,rev_89,rev_90,rev_91,rev_92,rev_93,rev_94,rev_95,rev_96,rev_97,doc_link,source_link
--fetch_data,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/NeuroNER-CSPMC/blob/908c5b1bd4fc1c950df0bb19acbe6a5d760a8417/README.md,https://github.com/google/NeuroNER-CSPMC/blob/908c5b1bd4fc1c950df0bb19acbe6a5d760a8417/neuroner/__main__.py#L72
--parameters_filepath,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/NeuroNER-CSPMC/blob/908c5b1bd4fc1c950df0bb19acbe6a5d760a8417/README.md,https://github.com/google/NeuroNER-CSPMC/blob/908c5b1bd4fc1c950df0bb19acbe6a5d760a8417/neuroner/__main__.py#L28
./data/word_vectors,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,9,9,9,9,9,9,9,9,9,9,9,9,9,https://github.com/google/NeuroNER-CSPMC/blob/908c5b1bd4fc1c950df0bb19acbe6a5d760a8417/README.md,https://github.com/google/NeuroNER-CSPMC/blob/908c5b1bd4fc1c950df0bb19acbe6a5d760a8417/test/test-parameters-training.ini#L39
/data/word_vectors,repo,README.md,-,-,-,-,-,1,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/NeuroNER-CSPMC/blob/908c5b1bd4fc1c950df0bb19acbe6a5d760a8417/README.md,https://github.com/google/NeuroNER-CSPMC/blob/d7f1b4baa3f55702c291d0fdb17dd54bccab12da/trained_models/mimic_glove_stanford_bioes/parameters.ini#L14
6B,repo,README.md,-,-,-,-,-,5,6,5,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,10,10,10,10,10,10,10,10,10,10,10,10,9,9,https://github.com/google/NeuroNER-CSPMC/blob/908c5b1bd4fc1c950df0bb19acbe6a5d760a8417/README.md,https://github.com/google/NeuroNER-CSPMC/blob/908c5b1bd4fc1c950df0bb19acbe6a5d760a8417/test/test-parameters-training.ini#L39
BRAT,repo,README.md,-,-,-,-,-,2,2,2,2,2,2,4,4,4,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,12,12,12,12,14,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,19,20,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,11,11,11,11,11,11,11,11,11,11,11,11,11,11,https://github.com/google/NeuroNER-CSPMC/blob/908c5b1bd4fc1c950df0bb19acbe6a5d760a8417/README.md,https://github.com/google/NeuroNER-CSPMC/blob/908c5b1bd4fc1c950df0bb19acbe6a5d760a8417/test/test-parameters-training.ini#L73
CITY,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,44,44,https://github.com/google/NeuroNER-CSPMC/blob/908c5b1bd4fc1c950df0bb19acbe6a5d760a8417/README.md,https://github.com/google/NeuroNER-CSPMC/blob/908c5b1bd4fc1c950df0bb19acbe6a5d760a8417/neuroner/data/conll2003/en/valid.txt#L1637
CPU,repo,README.md,-,-,-,-,-,3,4,4,5,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/NeuroNER-CSPMC/blob/908c5b1bd4fc1c950df0bb19acbe6a5d760a8417/README.md,https://github.com/google/NeuroNER-CSPMC/blob/908c5b1bd4fc1c950df0bb19acbe6a5d760a8417/test/test-parameters-training.ini#L60
CUDA_VISIBLE_DEVICES,repo,README.md,-,-,-,-,-,4,4,4,4,4,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/NeuroNER-CSPMC/blob/908c5b1bd4fc1c950df0bb19acbe6a5d760a8417/README.md,https://github.com/google/NeuroNER-CSPMC/blob/908c5b1bd4fc1c950df0bb19acbe6a5d760a8417/neuroner/__main__.py#L3
CoNLL,repo,README.md,-,-,-,-,-,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,8,8,8,8,8,8,8,8,8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/NeuroNER-CSPMC/blob/908c5b1bd4fc1c950df0bb19acbe6a5d760a8417/README.md,https://github.com/google/NeuroNER-CSPMC/blob/908c5b1bd4fc1c950df0bb19acbe6a5d760a8417/neuroner/trained_models/performances.md#L8
