code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,rev_79,rev_80,rev_81,rev_82,rev_83,rev_84,rev_85,rev_86,rev_87,rev_88,rev_89,rev_90,rev_91,rev_92,rev_93,rev_94,rev_95,rev_96,rev_97,rev_98,rev_99,rev_100,rev_101,rev_102,rev_103,rev_104,rev_105,rev_106,rev_107,rev_108,rev_109,rev_110,rev_111,rev_112,rev_113,rev_114,rev_115,rev_116,rev_117,rev_118,rev_119,rev_120,rev_121,rev_122,rev_123,rev_124,rev_125,rev_126,rev_127,rev_128,rev_129,rev_130,rev_131,rev_132,doc_link,source_link
MyLogger::Log,repo,README.md,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,https://github.com/google/capture-thread/blob/ec7be2f4932484f5715768f5fef87631ad70f6bf/README.md,https://github.com/google/capture-thread/blob/a780de1c20e2442139b3f06fede68d41161849be/test/readme-test.cc#L141
ParallelizeWork(),repo,README.md,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/capture-thread/blob/ec7be2f4932484f5715768f5fef87631ad70f6bf/README.md,https://github.com/google/capture-thread/blob/a780de1c20e2442139b3f06fede68d41161849be/test/readme-test.cc#L96
SIGSEGV,repo,README.md,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,1,1,1,1,1,1,1,https://github.com/google/capture-thread/blob/ec7be2f4932484f5715768f5fef87631ad70f6bf/README.md,https://github.com/google/capture-thread/blob/a780de1c20e2442139b3f06fede68d41161849be/test/readme-test.cc#L174
ScopedCapture,repo,README.md,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,28,28,28,28,28,31,31,31,31,31,33,33,33,33,33,33,33,33,33,33,33,33,https://github.com/google/capture-thread/blob/ec7be2f4932484f5715768f5fef87631ad70f6bf/README.md,https://github.com/google/capture-thread/blob/a780de1c20e2442139b3f06fede68d41161849be/test/readme-test.cc#L71
ThreadCapture,repo,README.md,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,48,48,48,48,48,48,48,50,50,50,50,50,50,50,48,48,50,50,53,55,55,55,55,55,55,55,55,55,57,57,57,57,57,59,61,61,61,61,68,68,68,68,68,68,68,68,68,68,72,68,https://github.com/google/capture-thread/blob/ec7be2f4932484f5715768f5fef87631ad70f6bf/README.md,https://github.com/google/capture-thread/blob/a780de1c20e2442139b3f06fede68d41161849be/test/readme-test.cc#L31
ThreadCapture<Logger>,repo,README.md,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/capture-thread/blob/ec7be2f4932484f5715768f5fef87631ad70f6bf/README.md,https://github.com/google/capture-thread/blob/a780de1c20e2442139b3f06fede68d41161849be/test/readme-test.cc#L33
ThreadCrosser,repo,README.md,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,86,86,86,86,86,86,86,88,88,88,106,106,106,107,92,92,96,97,108,105,104,111,111,111,109,109,109,109,109,109,109,109,109,113,117,117,117,119,123,121,121,121,125,125,117,117,117,119,119,119,https://github.com/google/capture-thread/blob/ec7be2f4932484f5715768f5fef87631ad70f6bf/README.md,https://github.com/google/capture-thread/blob/a780de1c20e2442139b3f06fede68d41161849be/test/thread-crosser-test.cc#L45
ThreadCrosser::WrapCall,repo,README.md,.,.,.,.,.,.,.,.,19,19,19,21,21,21,23,23,23,23,23,23,24,24,24,24,24,24,24,24,24,24,25,27,27,27,27,27,27,30,32,32,32,32,32,32,32,32,32,32,33,33,34,35,35,35,35,35,36,36,36,35,36,36,36,36,39,39,39,39,39,39,39,39,39,39,39,39,42,42,42,42,42,42,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/capture-thread/blob/ec7be2f4932484f5715768f5fef87631ad70f6bf/README.md,https://github.com/google/capture-thread/blob/870c11c9c7fcaafd18b4b4bdfb216fb08ad09e37/test/thread-crosser-test.cc#L50
WrapCall,repo,README.md,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,49,49,49,49,49,49,49,50,50,50,52,52,52,52,47,47,42,42,52,52,51,51,51,51,51,51,51,51,51,51,51,51,51,54,54,54,54,56,56,55,55,55,55,55,46,46,46,46,46,46,https://github.com/google/capture-thread/blob/ec7be2f4932484f5715768f5fef87631ad70f6bf/README.md,https://github.com/google/capture-thread/blob/a780de1c20e2442139b3f06fede68d41161849be/test/thread-crosser-test.cc#L45
WrapCall(&MyExistingFunction),repo,README.md,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/capture-thread/blob/ec7be2f4932484f5715768f5fef87631ad70f6bf/README.md,https://github.com/google/capture-thread/blob/a780de1c20e2442139b3f06fede68d41161849be/test/readme-test.cc#L103
"WrapCall([] { MyLogger::Log(""g was called"")",repo,README.md,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,1,1,1,1,1,1,1,https://github.com/google/capture-thread/blob/ec7be2f4932484f5715768f5fef87631ad70f6bf/README.md,https://github.com/google/capture-thread/blob/a780de1c20e2442139b3f06fede68d41161849be/test/readme-test.cc#L162
"WrapCall([] { MyLogger::Log(""h was called"")",repo,README.md,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,1,1,1,1,1,1,1,https://github.com/google/capture-thread/blob/ec7be2f4932484f5715768f5fef87631ad70f6bf/README.md,https://github.com/google/capture-thread/blob/a780de1c20e2442139b3f06fede68d41161849be/test/readme-test.cc#L168
capture_messages,repo,README.md,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,https://github.com/google/capture-thread/blob/ec7be2f4932484f5715768f5fef87631ad70f6bf/README.md,https://github.com/google/capture-thread/blob/a780de1c20e2442139b3f06fede68d41161849be/test/readme-test.cc#L140
capture_thread,repo,README.md,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,44,44,44,44,44,44,44,46,46,46,46,46,46,46,44,44,44,44,46,46,46,46,46,46,46,46,46,46,47,47,47,47,47,49,51,51,51,51,51,51,51,51,53,53,53,53,53,53,53,53,https://github.com/google/capture-thread/blob/ec7be2f4932484f5715768f5fef87631ad70f6bf/README.md,https://github.com/google/capture-thread/blob/a780de1c20e2442139b3f06fede68d41161849be/test/thread-crosser-test.cc#L34
cross_and_capture_to_,repo,README.md,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,14,14,14,14,14,14,15,15,15,15,15,15,15,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,https://github.com/google/capture-thread/blob/ec7be2f4932484f5715768f5fef87631ad70f6bf/README.md,https://github.com/google/capture-thread/blob/a780de1c20e2442139b3f06fede68d41161849be/test/readme-test.cc#L72
cross_and_capture_to_(this),repo,README.md,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,11,11,11,11,11,11,12,12,12,12,12,12,12,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,https://github.com/google/capture-thread/blob/ec7be2f4932484f5715768f5fef87631ad70f6bf/README.md,https://github.com/google/capture-thread/blob/a780de1c20e2442139b3f06fede68d41161849be/test/readme-test.cc#L35
current,repo,README.md,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25,21,25,25,25,23,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,37,37,37,37,33,33,34,35,35,35,35,37,37,38,33,33,33,33,33,34,34,34,34,35,35,36,36,36,33,30,30,30,30,30,30,30,30,33,33,33,https://github.com/google/capture-thread/blob/ec7be2f4932484f5715768f5fef87631ad70f6bf/README.md,https://github.com/google/capture-thread/blob/a780de1c20e2442139b3f06fede68d41161849be/src/thread-crosser.cc#L24
demo,repo,README.md,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,30,31,31,31,31,31,31,31,31,31,31,31,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/capture-thread/blob/ec7be2f4932484f5715768f5fef87631ad70f6bf/README.md,https://github.com/google/capture-thread/blob/870c11c9c7fcaafd18b4b4bdfb216fb08ad09e37/demo/tracing.h#L29
emplace_back(line),repo,README.md,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/capture-thread/blob/ec7be2f4932484f5715768f5fef87631ad70f6bf/README.md,https://github.com/google/capture-thread/blob/a780de1c20e2442139b3f06fede68d41161849be/test/readme-test.cc#L64
