code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,doc_link,source_link
.png,repo,README.md,.,17,17,17,17,17,17,17,17,17,17,17,17,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,14,14,14,14,14,14,14,14,14,14,14,14,14,14,https://github.com/google/microscopeimagequality/blob/889d6d2e17d46a82e0af6e7810cf634c76902c0a/README.md,https://github.com/google/microscopeimagequality/blob/d77ee5f07537f6a753f909789e489adc1d2b6d9e/tests/test_inference.py#L110
.tif,repo,README.md,.,6,6,6,6,6,6,6,6,6,6,6,6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,6,6,15,15,15,15,15,15,15,15,15,15,15,https://github.com/google/microscopeimagequality/blob/889d6d2e17d46a82e0af6e7810cf634c76902c0a/README.md,https://github.com/google/microscopeimagequality/blob/d77ee5f07537f6a753f909789e489adc1d2b6d9e/wellmontagefijimacro/wellmontagefijimacro.ijm#L216
PIL,repo,README.md,.,9,9,9,9,9,9,9,9,9,9,9,9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,13,13,13,13,13,13,13,13,13,15,15,15,15,15,https://github.com/google/microscopeimagequality/blob/889d6d2e17d46a82e0af6e7810cf634c76902c0a/README.md,https://github.com/google/microscopeimagequality/blob/d77ee5f07537f6a753f909789e489adc1d2b6d9e/tests/test_inference.py#L5
TensorBoard,repo,README.md,.,1,1,1,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/microscopeimagequality/blob/889d6d2e17d46a82e0af6e7810cf634c76902c0a/README.md,https://github.com/google/microscopeimagequality/blob/d77ee5f07537f6a753f909789e489adc1d2b6d9e/microscopeimagequality/evaluation.py#L112
TensorFlow,repo,README.md,.,3,5,5,5,5,5,5,5,5,5,5,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,8,8,8,8,8,8,8,8,8,8,8,8,8,8,https://github.com/google/microscopeimagequality/blob/889d6d2e17d46a82e0af6e7810cf634c76902c0a/README.md,https://github.com/google/microscopeimagequality/blob/d77ee5f07537f6a753f909789e489adc1d2b6d9e/microscopeimagequality/prediction.py#L34
constants.py,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/microscopeimagequality/blob/889d6d2e17d46a82e0af6e7810cf634c76902c0a/README.md,code_element is a file name
degrade.py,repo,README.md,.,3,3,3,3,3,3,3,3,3,3,3,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/microscopeimagequality/blob/889d6d2e17d46a82e0af6e7810cf634c76902c0a/README.md,https://github.com/google/microscopeimagequality/blob/07554d375babdeb34ad09891922f9bcdb84c2d3c/simulator/degrade_test.py#L1
eval_directory,repo,README.md,.,11,11,11,11,11,11,11,11,11,11,11,11,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/microscopeimagequality/blob/889d6d2e17d46a82e0af6e7810cf634c76902c0a/README.md,https://github.com/google/microscopeimagequality/blob/07554d375babdeb34ad09891922f9bcdb84c2d3c/quality/run_inference_test.py#L146
evaluation.py,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/microscopeimagequality/blob/889d6d2e17d46a82e0af6e7810cf634c76902c0a/README.md,code_element is a file name
experiment_directory,repo,README.md,.,8,8,8,8,8,8,8,8,8,8,8,8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/microscopeimagequality/blob/889d6d2e17d46a82e0af6e7810cf634c76902c0a/README.md,https://github.com/google/microscopeimagequality/blob/07554d375babdeb34ad09891922f9bcdb84c2d3c/quality/summarize_inference.py#L9
